sp,hosts
Nymphalidae_Eresia_coela,1
Nymphalidae_Eresia_eunice,1
Nymphalidae_Ortilia_ithra,1
Nymphalidae_Telenassa_teletusa,1
Nymphalidae_Castilia_myia,1
Nymphalidae_Anthanassa_frisia,0
Nymphalidae_Anthanassa_texana,0
Nymphalidae_Anthanassa_ptolyca,1
Nymphalidae_Tegosa_anieta,0
Nymphalidae_Phyciodes_orseis,1
Nymphalidae_Phyciodes_mylitta,0
Nymphalidae_Phyciodes_phaon,1
Nymphalidae_Phyciodes_tharos,0
Nymphalidae_Phyciodes_batesii,1
Nymphalidae_Ortilia_orthia,1
Nymphalidae_Ortilia_liriope,0
Nymphalidae_Phystis_simois,1
Nymphalidae_Melitaea_diamina,0
Nymphalidae_Melitaea_cinxia,0
Nymphalidae_Melitaea_phoebe,1
Nymphalidae_Melitaea_aetherie,1
Nymphalidae_Melitaea_arduinna,1
Nymphalidae_Melitaea_didyma,0
Nymphalidae_Chlosyne_californica,1
Nymphalidae_Chlosyne_lacinia,0
Nymphalidae_Chlosyne_gaudealis,1
Nymphalidae_Chlosyne_narva,1
Nymphalidae_Chlosyne_janais,0
Nymphalidae_Dymasia_dymas,1
Nymphalidae_Texola_elada,1
Nymphalidae_Poladryas_arachne,1
Nymphalidae_Euphydryas_chalcedona,0
Nymphalidae_Euphydryas_anicia,0
Nymphalidae_Euphydryas_phaeton,0
Nymphalidae_Euphydryas_editha,1
Nymphalidae_Euphydryas_aurinia,0
Nymphalidae_Euphydryas_maturna,0
Nymphalidae_Euphydryas_gillettii,0
Nymphalidae_Doleschallia_bisaltide,0
Nymphalidae_Junonia_evarete,0
Nymphalidae_Junonia_genoveva,0
Nymphalidae_Junonia_coenia,0
Nymphalidae_Junonia_oenone,1
Nymphalidae_Junonia_almana,0
Nymphalidae_Junonia_westermanni,0
Nymphalidae_Junonia_sophia,0
Nymphalidae_Junonia_orithya,0
Nymphalidae_Junonia_hierta,1
Nymphalidae_Junonia_villida,0
Nymphalidae_Junonia_lemonias,0
Nymphalidae_Junonia_hedonia,1
Nymphalidae_Junonia_atlites,0
Nymphalidae_Junonia_iphita,1
Nymphalidae_Junonia_artaxia,1
Nymphalidae_Junonia_natalica,0
Nymphalidae_Junonia_terea,1
Nymphalidae_Yoma_algina,1
Nymphalidae_Yoma_sabina,0
Nymphalidae_Salamis_cacta,0
Nymphalidae_Hypolimnas_bolina,0
Nymphalidae_Hypolimnas_alimena,1
Nymphalidae_Hypolimnas_misippus,0
Nymphalidae_Hypolimnas_anthedon,0
Nymphalidae_Hypolimnas_dinarcha,1
Nymphalidae_Hypolimnas_usambara,1
Nymphalidae_Hypolimnas_salmacis,1
Nymphalidae_Hypolimnas_monteironis,1
Nymphalidae_Siproeta_stelenes,0
Nymphalidae_Siproeta_epaphus,1
Apocynaceae_Anartia_fatima,0
Apocynaceae_Anartia_amathea,0
Apocynaceae_Anartia_jatrophae,0
Nymphalidae_Kallima_paralekta,1
Nymphalidae_Kallima_limborgii,1
Nymphalidae_Kallima_inachus,0
Nymphalidae_Catacroptera_cloanthe,0
Nymphalidae_Rhinopalpa_polynice,0
Nymphalidae_Polygonia_zephyrus,0
Nymphalidae_Polygonia_gracilis,0
Nymphalidae_Polygonia_oreas,0
Nymphalidae_Polygonia_progne,0
Nymphalidae_Polygonia_interrogationis,0
Nymphalidae_Polygonia_comma,0
Nymphalidae_Polygonia_satyrus,0
Nymphalidae_Polygonia_egea,0
Nymphalidae_Polygonia_faunus,0
Nymphalidae_Nymphalis_xanthomelas,0
Nymphalidae_Nymphalis_antiopa,0
Nymphalidae_Nymphalis_californica,0
Nymphalidae_Nymphalis_polychloros,0
Nymphalidae_Kaniska_canace,0
Nymphalidae_Aglais_milberti,0
Nymphalidae_Aglais_urticae,0
Nymphalidae_Inachis_io,0
Nymphalidae_Antanartia_schaeneia,1
Nymphalidae_Antanartia_delius,1
Nymphalidae_Vanessa_indica,0
Nymphalidae_Vanessa_tameamea,1
Nymphalidae_Vanessa_atalanta,0
Nymphalidae_Vanessa_annabella,0
Nymphalidae_Vanessa_kershawi,1
Nymphalidae_Vanessa_cardui,0
Nymphalidae_Vanessa_virginiensis,0
Nymphalidae_Vanessa_itea,1
Nymphalidae_Hypanartia_paullus,0
Nymphalidae_Hypanartia_lethe,0
Nymphalidae_Symbrenthia_hypselis,1
Nymphalidae_Mynes_geoffroyi,1
Nymphalidae_Araschnia_burejana,1
Nymphalidae_Araschnia_levana,1
Nymphalidae_Colobura_dirce,0
Nymphalidae_Smyrna_blomfildia,1
Nymphalidae_Historis_odius,0
Nymphalidae_Historis_acheronta,0
Nymphalidae_Marpesia_chiron,0
Nymphalidae_Marpesia_eleuchea,1
Nymphalidae_Cyrestis_thyodamas,1
Nymphalidae_Chersonesia_rahria,1
Nymphalidae_Diaethria_clymena,0
Nymphalidae_Temenis_laothoe,1
Nymphalidae_Nica_flavilla,1
Nymphalidae_Epiphile_orea,1
Nymphalidae_Pyrrhogyra_crameri,1
Nymphalidae_Catonephele_acontius,0
Nymphalidae_Catonephele_numilia,0
Nymphalidae_Myscelia_cyaniris,1
Ranunculaceae_Hamadryas_februa,0
Nymphalidae_Byblia_anvatara,1
Nymphalidae_Neptidopsis_ophione,1
Nymphalidae_Mesoxantha_ethosea,1
Rubiaceae_Ariadne_enotrea,1
Nymphalidae_Eurytela_dryope,0
Pyrgomorphidae_Mestra_dorcas,1
Nymphalidae_Biblis_hyperia,0
Nymphalidae_Sallya_boisduvali,0
Rubiaceae_Ariadne_ariadne,0
Nymphalidae_Neptidopsis_fulgurata,1
Nymphalidae_Sephisa_dichroa,1
Nymphalidae_Sephisa_princeps,1
Nymphalidae_Sephisa_chandra,1
Nymphalidae_Apatura_iris,0
Nymphalidae_Apatura_nycteis,1
Nymphalidae_Hestina_assimilis,1
Nymphalidae_Hestina_japonica,1
Nymphalidae_Euripus_nyctelius,0
Nymphalidae_Sasakia_charonda,1
Nymphalidae_Doxocopa_laure,0
Nymphalidae_Chitoria_ulupi,1
Nymphalidae_Chitoria_chrysolora,1
Nymphalidae_Eulaceura_osteria,1
Nymphalidae_Herona_marathus,1
Nymphalidae_Asterocampa_idyja,1
Nymphalidae_Asterocampa_clyton,0
Nymphalidae_Asterocampa_leilia,1
Nymphalidae_Helcyra_superba,1
Nymphalidae_Timelaea_maculata,1
Nymphalidae_Timelaea_albescens,1
Nymphalidae_Stibochiona_nicea,0
Nymphalidae_Dichorragia_nesimachus,1
Nymphalidae_Amnosia_decora,1
Nymphalidae_Pseudergolis_wedah,1
Nymphalidae_Heliconius_sapho,1
Nymphalidae_Heliconius_antiochus,1
Nymphalidae_Heliconius_sara,1
Nymphalidae_Heliconius_hewitsoni,1
Nymphalidae_Heliconius_ricini,1
Nymphalidae_Heliconius_demeter,1
Nymphalidae_Heliconius_hortense,1
Nymphalidae_Heliconius_clysonymus,1
Nymphalidae_Heliconius_erato,1
Nymphalidae_Heliconius_hermathena,1
Nymphalidae_Heliconius_hecalesia,1
