"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","lambda1","mu1","lambda2","mu2","p"
51,0.206005464534685,0.220197596739595,0.00143787471570561,0.00708109744024458,0.0337335004184091,0.000310828564375977,0.0504602180080141,0.0563401058778295,0.0986528041924891,0.00122849286706263,0.0628353598912453,0.000666542301613827,-1114.80030269469
52,0.211790260758772,0.242624471653909,0.00112669777496774,0.00224041526516847,0.0385031717514124,0.000475025819649603,0.0563607654270458,0.0551171075601431,0.111548495443348,0.00143740571930892,0.0907976232036654,0.00646688015809648,-1115.85476552387
53,0.191883590630842,0.237316431350757,0.00696043603320549,0.000965865543219674,0.0486756667579557,0.000728571335763298,0.0512893363545142,0.05891083537579,0.109493799105486,0.00132473859310168,0.0782247716668642,0.00133714300546575,-1113.97418889554
54,0.151718260928677,0.203242478538831,0.0045357157984724,0.00528327181024434,0.0471574499735803,0.000217875236711481,0.0520117934845523,0.0592004957844409,0.104406704965819,0.00130885358000755,0.0786210464387871,0.00225402957293982,-1113.82649000809
55,0.205387390389639,0.209127572510431,0.00643817498749866,0.00500903259475715,0.0434558283543753,0.000314548562794889,0.046696974325572,0.0735653412288012,0.116477113038938,0.00806822478078538,0.0734847246423127,0.001538056556398,-1120.29693158318
56,0.180261872885899,0.194856861443067,0.00607477121948479,0.000706846864781928,0.0438410308566312,0.000890982996440533,0.0557043804727015,0.0729002511916112,0.108588775627567,0.00376414235916916,0.0744304436772318,0.00207898791535873,-1115.79557707526
57,0.183836900043791,0.224498732718508,0.00641028960951109,0.00125610525776098,0.0420003604401594,0.000928480282827156,0.0608080574601651,0.0652477160176628,0.114607467315912,0.00100279927520615,0.0770178288109404,0.00157235763830296,-1112.73140098278
58,0.164038403718434,0.20636188294531,0.00136560761475084,0.00117517699606813,0.040344036901241,0.0011576251341547,0.0537945900560018,0.0657357680728533,0.114576654361163,0.00133130138042745,0.0756931386070296,0.000874708677951914,-1111.854129852
59,0.177700155726694,0.211901718494232,0.00355968851292401,0.00456410909326211,0.0360693881272835,0.000477149135576283,0.0512474885451759,0.0572833190563607,0.110620917443779,0.00157920667208799,0.0778186865276144,5.85123496202094e-05,-1110.095956256
60,0.200602795102987,0.193396359587482,0.00274370441519339,0.00257803313725677,0.036080507602327,0.00200594525879277,0.0627832914374722,0.058755022294886,0.10720367082301,0.00184029573958822,0.0706651061625899,0.000132230253525396,-1113.91165949949
