sp,hosts
Caleta_elna,131
Calinaga_buddha,101
Calisto_pulchella,69
Callithomia_hezia,145
Callithomia_lenea,145
Candalides_geminus,82
Capronnieria_galesus,69
Castalius_rosimon,131
Castilia_myia,0
Catochrysops_panormus,62
Catopsilia_pomona,62
Catopsilia_scylla,62
Cepora_nerissa,27
Cepora_perimale,27
Ceratinia_tutia,145
Cercyonis_meadii,69
Cercyonis_oetus,69
Cercyonis_pegala,69
Cethosia_biblis,116
Cethosia_hypsea,116
Cethosia_nietneri,116
Cethosia_penthesilea,116
Charaxes_affinis,61
Charaxes_ameliae,62
Charaxes_amycus,95
Charaxes_ansorgei,96
Charaxes_antamboulou,61
Charaxes_anticlea,62
Charaxes_baumanni,62
Charaxes_blanda,62
Charaxes_cacuthis,5
Charaxes_congdoni,62
Charaxes_dilutus,62
Charaxes_fulvescens,139
Charaxes_galawadiwosi,62
Charaxes_guderiana,62
Charaxes_hadrianus,108
Charaxes_howarthi,62
Charaxes_kirki,62
Charaxes_lasti,62
Charaxes_mafuga,62
Charaxes_marieps,108
Charaxes_marmax,61
Charaxes_montis,62
Charaxes_nichetes,61
Charaxes_opinatus,62
Charaxes_paphianus,62
Charaxes_plantroui,62
Charaxes_pleione,62
Charaxes_pythodoris,0
Charaxes_smaragdalis,152
Charaxes_solon,62
Charaxes_subornatus,62
Charaxes_virilis,62
Charaxes_zingha,85
Charaxes_zoolina,62
Chazara_briseis,69
Chersonesia_rahria,101
Chilades_trochylus,62
Chitoria_chrysolora,156
Chitoria_ulupi,156
Chlosyne_californica,39
Chlosyne_gaudealis,0
Chlosyne_narva,3
Chrysozephyrus_ataxus,63
Chrysozephyrus_smaragdinus,63
Cirrochroa_emalea,113
Cirrochroa_tyche,64
Cissia_penelope,69
Clossiana_alberta,133
Clossiana_astarte,141
Clossiana_iphigenia,161
Clossiana_kriemhild,161
Clossiana_thore,161
Coelites_euptychioides,113
Coenonympha_arcania,69
Coenonympha_glycerion,69
Coenonympha_pamphilus,69
Colias_christina,62
Colias_croceus,62
Colias_erate,62
Colias_hyale,62
Colias_hyperborea,62
Colias_interior,59
Colias_meadii,62
Colias_palaeno,59
Colias_pelidne,59
Colias_philodice,62
Colotis_hetaera,27
Coreana_raphaelis,110
Cressida_cressida,10
Cupido_minimus,62
Curetis_acuta,62
Curetis_bulis,62
Cyclargus_ammon,62
Cyllopsis_gemma,69
Cyllopsis_pertepida,69
Cyrestis_thyodamas,101
Damora_sagana,161
Danaus_genutia,11
Danaus_gilippus,11
Delias_baracasa,87
Delias_nais,87
Dercas_verhuelli,62
Dichorragia_nesimachus,97
Dingana_dingana,69
Dione_glycera,116
Dione_juno,116
Dione_moneta,116
Dira_clytus,69
Dira_jansei,69
Dira_oxylus,69
Dira_swanepoeli,69
Dircenna_dero,145
Discophora_necho,69
Discophora_sondaica,69
Dismorphia_amphiona,62
Dixeia_charina,27
Dryadula_phaetusa,116
Dymasia_dymas,0
Eicochrysops_hippocrates,123
Elymnias_bammakoo,113
Elymnias_casiphone,113
Elymnias_nesaea,113
Enodia_anthedon,69
Enodia_portlandia,69
Epiphile_orea,139
Episcada_clausina,145
Epityches_eupompe,145
Erebia_aethiops,69
Erebia_alberganus,69
Erebia_epiphron,69
Erebia_euryale,69
Erebia_medusa,69
Erebia_meolans,69
Erebia_montana,69
Erebia_niphonica,49
Erebia_palarica,69
Erebia_pandrose,69
Erebia_pharte,69
Erebia_pronoe,69
Erebia_triaria,69
Erebia_tyndarus,69
Erebiola_butleri,69
Eresia_coela,0
Eresia_eunice,0
Erysichton_lineata,139
Erysichton_palmyra,87
Eucheira_socialis,59
Euchloe_ausonides,46
Euchloe_olympia,46
Eueides_aliphera,116
Eueides_isabella,116
Eueides_lybia,116
Eueides_procula,154
Eueides_tales,116
Eueides_vibilia,116
Eulaceura_osteria,156
Euphilotes_battoides,123
Euphilotes_enoptes,123
Euphilotes_rita,123
Euphydryas_editha,142
Euploea_camaralzeman,6
Euptera_elabontas,140
Eurema_floricola,62
Eurema_mexicana,62
Euryades_corethrus,10
Eurytides_marcellus,5
Euxanthe_crossleyi,139
Euxanthe_tiberius,139
Famegana_alsulus,62
Favonius_cognatus,63
Favonius_jezoensis,63
Favonius_korshunovi,63
Favonius_saphirinus,63
Favonius_ultramarinus,63
Flos_anniella,63
Forbestra_olivencia,145
Fountainea_ryphea,61
Gandaca_harina,131
Ganyra_josephina,27
Geitoneura_acantha,69
Glaucopsyche_alexis,62
Glaucopsyche_lycormas,62
Glaucopsyche_lygdamus,62
Glaucopsyche_melanops,62
Glaucopsyche_piasus,62
Gnophodes_chelys,69
Godartiana_muscosa,69
Godyris_zavaleta,145
Gonepteryx_mahaguru,131
Graphium_aristeus,5
Graphium_empedovana,73
Graphium_ridleyanus,5
Hamearis_lucina,126
Helcyra_superba,156
Heliconius_antiochus,116
Heliconius_aoede,116
Heliconius_besckei,116
Heliconius_burneyi,116
Heliconius_charitonius,116
Heliconius_clysonymus,116
Heliconius_cydno,116
Heliconius_demeter,116
Heliconius_doris,116
Heliconius_egeria,116
Heliconius_elevatus,116
Heliconius_erato,116
Heliconius_ethilla,116
Heliconius_hecale,116
Heliconius_hecalesia,116
Heliconius_hermathena,116
Heliconius_heurippa,116
Heliconius_hewitsoni,116
Heliconius_hortense,116
Heliconius_ismenius,116
Heliconius_melpomene,116
Heliconius_metharme,116
Heliconius_nattereri,116
Heliconius_numata,116
Heliconius_pachinus,116
Heliconius_pardalinus,116
Heliconius_ricini,116
Heliconius_sapho,116
Heliconius_sara,116
Heliconius_timareta,116
Heliconius_wallacei,116
Heliconius_xanthocles,116
Hemiargus_ceraunus,62
Henotesia_perspicua,69
Hermeuptychia_hermes,69
Hermeuptychia_sosybius,69
Herona_marathus,156
Hestina_assimilis,156
Hestina_japonica,156
Heteronympha_merope,69
Heteronympha_penelope,69
Hipparchia_fagi,69
Hipparchia_fidia,69
Hipparchia_semele,69
Hypermnestra_helios,166
Hypna_clytemnestra,61
Hypochrysops_miskini,160
Hypocysta_adiante,69
Hypoleria_lavinia,145
Hypolimnas_alimena,0
Hypolimnas_dinarcha,158
Hypolimnas_monteironis,158
Hypolimnas_salmacis,158
Hypolimnas_usambara,158
Hyponephele_lycaon,69
Hyposcada_virginiana,67
Hypothyris_daphnis,145
Hypothyris_euclea,145
Hypothyris_fluonia,145
Hypothyris_semifulva,145
Ideopsis_gaura,6
Ideopsis_vulgaris,11
Iolana_iolas,62
Issoria_hanningtoni,161
Issoria_smaragdifera,161
Ithomia_agnosia,145
Ithomia_amarilla,145
Ithomia_celemia,145
Ithomia_diasia,145
Ithomia_drymo,145
Ithomia_iphianassa,145
Ithomia_patilla,145
Ithomia_salapia,145
Ithomia_xenos,145
Ixias_pyrene,27
Jalmenus_clementi,62
Jalmenus_daemeli,139
Jalmenus_eichhorni,62
Jalmenus_evagoras,62
Jalmenus_icilius,62
Jalmenus_inous,62
Jalmenus_lithochroa,62
Jalmenus_pseudictinus,139
Japonica_lutea,63
Japonica_saepestriata,63
Junonia_artaxia,0
Junonia_hedonia,0
Junonia_hierta,0
Junonia_iphita,0
Junonia_oenone,0
Junonia_terea,0
Kallima_limborgii,0
Kallima_paralekta,0
Kricogonia_lyside,166
Lampides_boeticus,62
Lamproptera_curius,73
Lamproptera_meges,73
Lasiommata_maera,69
Lasiommata_megera,69
Lasiommata_petropolitana,69
Lasippa_tiga,71
Lepidochrysops_dukei,142
Leptidea_morsei,62
Leptidea_sinapis,62
Leptosia_alcesta,27
Leptotes_trigemmatus,62
Lethe_chandica,69
Lethe_confusa,69
Lethe_diana,69
Lethe_europa,69
Lethe_minerva,69
Libythea_celtis,156
Limenitis_camilla,28
Limenitis_doerriesi,28
Limenitis_helmanni,28
Limenitis_moltrechti,28
Limenitis_sulpitia,28
Liphyra_brassolis,76
Lucia_limbaria,112
Luehdorfia_chinensis,10
Luehdorfia_japonica,10
Luehdorfia_longicaudata,10
Luehdorfia_puziloi,10
Lycaeides_argyrognomon,62
Lycaena_dispar,123
Lycaena_solskyi,121
Lycaena_tityrus,123
Lycaena_virgaureae,123
Lymanopoda_samius,69
Lysandra_bellargus,62
Lysandra_coridon,62
Lysandra_syriaca,62
Maculinea_arion,81
Maculinea_nausithous,133
Maculinea_rebeli,65
Manataria_hercyna,69
Maniola_jurtina,69
Marpesia_eleuchea,101
Mcclungia_cymo,145
Meandrusa_payeni,82
Mechanitis_lysimnia,145
Mechanitis_mazaeus,145
Mechanitis_polymnia,145
Megisto_cymela,69
Melanargia_galathea,69
Melanargia_halimede,69
Melanargia_ines,69
Melanargia_lachesis,69
Melanargia_occitanica,69
Melanargia_russiae,69
Meleageria_daphnis,62
Melinaea_menophilus,145
Melitaea_aetherie,39
Melitaea_arduinna,39
Melitaea_phoebe,39
Mesoxantha_ethosea,61
Mestra_dorcas,61
Methona_confusa,145
Miletus_ancon,76
Minois_dryas,69
Moduza_procris,134
Mycalesis_anapita,69
Mycalesis_francisca,69
Mycalesis_gotama,69
Mycalesis_janardana,69
Mycalesis_maianeas,165
Mycalesis_mineus,69
Mycalesis_orseis,69
Mycalesis_perseus,69
Mycalesis_sangaica,69
Mycalesis_sirius,69
Mycalesis_terminus,69
Mycalesis_visala,69
Mylothris_bernice,123
Mynes_geoffroyi,158
Myscelia_cyaniris,61
Napeogenes_inachia,145
Napeogenes_sylphis,145
Napeogenes_tolosa,145
Neolucia_agricola,62
Neolucia_hobartensis,58
Neolucia_mathewi,62
Neominois_ridingsii,69
Neope_bremeri,69
Neophasia_menapia,117
Nepheronia_thalassina,33
Neptidopsis_fulgurata,61
Neptidopsis_ophione,61
Neptis_ida,62
Neptis_pryeri,133
Neptis_sappho,62
Nesoxenica_leprea,49
Nica_flavilla,139
Oeneis_taygete,69
Ogyris_amaryllis,87
Ogyris_idmo,87
Oleria_rubescens,145
Oleria_vicina,145
Oleria_victorine,145
Oleria_zelica,145
Opsiphanes_quiteria,113
Oraidium_barberae,34
Oreixenica_lathoniella,69
Orsotriaena_medus,69
Ortilia_ithra,0
Ortilia_orthia,39
Pachliopta_hector,10
Palaeonympha_opalina,69
Pantoporia_hordonia,62
Pantoporia_sandaka,62
Papilio_aegeus,135
Papilio_alexanor,157
Papilio_anactus,135
Papilio_anchisiades,135
Papilio_arcturus,135
Papilio_astyalus,135
Papilio_constantinus,135
Papilio_dialis,135
Papilio_epycides,82
Papilio_helenus,135
Papilio_krishna,135
Papilio_laglaizei,82
Papilio_lormieri,135
Papilio_maackii,135
Papilio_macilentus,135
Papilio_nephelus,135
Papilio_nobilis,25
Papilio_palinurus,135
Papilio_paris,135
Papilio_peranthus,135
Papilio_phorcas,135
Papilio_pilumnus,82
Papilio_polyctor,135
Papilio_polytes,135
Papilio_rex,135
Papilio_torquatus,135
Paralethe_dendrophilus,69
Parantica_aglea,11
Parantica_aspasia,11
Parantica_luzonensis,11
Parantica_sita,11
Pararge_aegeria,69
Paratisiphone_lyrnessa,49
Pareronia_valeria,27
Parides_aeneas,10
Parides_agavus,10
Parides_anchises,10
Parides_ascanius,10
Parides_eurimedes,10
Parides_panthonus,135
Parides_proneus,10
Parides_sesostris,10
Parides_tros,10
Parides_vertumnus,10
Parides_zacynthus,10
Parnassius_bremeri,45
Parnassius_clodius,115
Parnassius_eversmanni,115
Parnassius_glacialis,115
Parnassius_mnemosyne,115
Parnassius_nomion,45
Parnassius_phoebus,45
Parnassius_stubbendorfii,115
Parnassius_tenedius,115
Phengaris_atroguttata,81
Philaethria_dido,116
Philaethria_wernickei,116
Philotes_sonorensis,45
Philotiella_speciosa,123
Phlyaria_cyara,62
Phoebis_philea,62
Phyciodes_batesii,39
Phyciodes_orseis,39
Phyciodes_phaon,160
Phystis_simois,0
Pieris_rapae,46
Pieris_virginiensis,46
Pinacopteryx_eriphia,27
Pithecops_dionisius,62
Plebicula_dorylas,62
Poladryas_arachne,142
Polyommatus_icarus,62
Polyura_athamas,62
Polyura_moori,62
Poritia_erycinoides,63
Praepedaliodes_phanias,69
Prioneris_philonome,27
Prothoe_franck,5
Pseudalmenus_chlorinda,62
Pseudergolis_wedah,158
Pseudolucia_collina,62
Pseudoneptis_bugandensis,101
Pseudonympha_magus,69
Pseudophilotes_abencerragus,62
Pseudophilotes_bavius,81
Pseudophilotes_panoptes,81
Pseudophilotes_vicrama,81
Pseudopieris_nehemia,62
Pseudoscada_timna,145
Pseudotergumia_fidia,69
Psychonotis_caelius,131
Pteronymia_vestilla,145
Pyronia_bathseba,69
Pyronia_cecilia,69
Pyronia_tithonus,69
Pyrrhogyra_crameri,139
Quercusia_quercus,63
Rapala_caerulea,62
Sasakia_charonda,156
Satyrium_eximia,131
Satyrium_pruni,133
Satyrium_prunoides,133
Satyrodes_eurydice,49
Satyrus_actaea,69
Satyrus_ferula,69
Scada_zibia,145
Scolitantides_orion,45
Semanga_superba,62
Sephisa_chandra,63
Sephisa_dichroa,63
Sephisa_princeps,63
Sericinus_montela,10
Shijimiaeoides_divina,62
Siderone_galanthis,64
Sinia_divina,62
Siproeta_epaphus,0
Smyrna_blomfildia,158
Speyeria_atlantis,161
Speyeria_mormonia,161
Surendra_vivarna,62
Symbrenthia_hypselis,158
Symbrenthia_lilaea,158
Tanaecia_julii,140
Taraka_hamada,76
Taygetis_virgilia,69
Taygetis_ypthima,69
Teinopalpus_imperialis,151
Telenassa_teletusa,0
Temenis_laothoe,139
Texola_elada,0
Thauria_aliris,113
Theclinesthes_albocincta,61
Theclinesthes_hesperia,61
Theclinesthes_miskini,139
Theclinesthes_onycha,164
Theclinesthes_serpentata,34
Theclinesthes_sulpitius,34
Thyridia_psidii,145
Timelaea_albescens,156
Timelaea_maculata,156
Tisiphone_abeona,49
Tithorea_harmonia,6
Torynesis_hawequas,69
Torynesis_mintha,69
Troides_amphrysus,10
Troides_helena,10
Turanana_cytis,30
Turanana_endymion,121
Udara_albocaerulea,148
Uranothauma_falkensteini,62
Ussuriana_michaelis,110
Ussuriana_stygiana,110
Vanessa_gonerilla,158
Vanessa_itea,158
Vanessa_kershawi,39
Vanessa_tameamea,158
Vindula_arsinoe,116
Vindula_erota,116
Wagimo_signata,63
Xanthotaenia_busiris,165
Yoma_algina,0
Ypthima_baldus,69
Zegris_eupheme,46
Zerene_cesonia,62
Zerene_eurydice,62
Zerynthia_polyxena,10
Zerynthia_rumina,10
Zintha_hintza,131
