species,gsize
Actias luna,547.68
Antheraea pernyi,978
Antheraea polyphemus,528.12
Automeris io,469.44
Bicyclus anynana,479.22
Galleria melonella,489
Heliconius erato petiverana,400.98
Hyles lineata,449.88
Hypolimnas bolina,440.1
Limenitis arthemis,381.42
Lycia pomonaria,1427.88
Malacosoma americana,498.78
Malacosoma disstria,557.46
Manduca sexta,420.54
Nepytia canosaria,753.06
Noctua pronuba,557.46
Papilio cresphontes,234.72
Sesamia inferens,958.44
Xestia c-nigrum,762.84
Aglais io,363.5
Anthocharis euphenoides,294.4
Aricia cramera,421.1
Bombyx mandarina,398.589
Bombyx mori,481.819
Calephelis virginiensis,855.082
Calycopis cecrops,728.789
Carcharodus alceae,464.1
Celastrina argiolus,445.3
Chilo suppressalis,824.354
Coenonympha arcania,471.9
Colias crocea,264.6
Cydia pomonella,772.892
Danaus chrysippus,322.399
Danaus plexippus,248.578
Euchloe crameri,341.5
Euphydryas aurinia,608.5
Gonepteryx rhami,299.1
Heliconius cydno,282.336
Heliconius ethilla,282.527
Heliconius ismenius,259.837
Heliconius melpomene,273.786
Heliconius numata,364.328
Heliconius pachinus,279.265
Heliconius pardalinus,293.609
Heliconius timareta,319.43
Heliconius wallacei,365.01
Heliconius xanthocles,198.612
Helicoverpa armigera,337.088
Hyphantria cunea,510.512
Iphiclides feisthamelii,419.4
Iphiclides podalirius,386.6
Laparus doris,241.556
Lasiommata maera,380.7
Lasiommata megera,364.5
Lerema accius,298.17
Lycaena phlaeas,359.7
Lymantria dispar,864.963
Maniola jurtina,367.3
Melanargia ines,346.6
Melitaea athalia,470.6
Melitaea cinxia,389.908
Melitaea dydima,489.9
Neruda aoede,337.37
Ochlodes sylvanus,345.2
Papilio machaon,278.436
Papilio memnon,232.544
Papilio polytes,227.021
Papilio xuthus,243.89
Pararge aegeria,498.5
Phoebis sennae,287.49
Pieris brassicae,259.9
Pieris napi,350.6
Pieris rapae,318.2
Polyommatus icarus ,482.2
Pontia daplidice,175
Pyronia cecilia,476.1
Spialia sertorius,320.9
Spodoptera frugiperda,514.226
Spodoptera litura,438.956
Thymelicus acteon,517.4
Thymelicus sylvestris,426.4
Trichoplusia ni,368.211
Vanessa atalanta,326.4
Jalmenus evagoras,224.94
Papilio polyxenes,254.28
Drepana arcuata,303.18
Xanthotype sospeta,312.96
Nadata gibbosa,322.74
Drepana bilineata,332.52
Semiothisa bisignata,332.52
Gluphisia septentrionis,352.08
Peridea basitriens,352.08
Tegeticula corruptrix,361.86
Eudryas grata,371.64
Ennomos subsignarius,391.2
Guenovia simcloria,391.2
Tegeticula yuccasella,391.2
Heliothis virescens,400.98
Papilio canadensis,430.32
Papilio glaucus,430.32
Eumorpha vitis,430.32
Ennomine sp.,440.1
Cisseps fulvicollis,449.88
Scopula limboundata,449.88
Cucullia intermedia,449.88
Unknown sp.,449.88
Pachysphinx modesta,449.88
Ceratoma undulosa,459.66
Unknown sp.1,469.44
Agrius cingulata,469.44
Unknown sp.2,479.22
Ctenucha virginica,489
Unknown sp.3,498.78
Condica videns,528.12
Daraspsa pholus,567.24
Paonias excaecatus,567.24
Lacinipolia renigera,586.8
Heterocampa bilineata,586.8
Halisidota tesselaris,596.58
Paonias myops,616.14
Spilosoma virginica,625.92
Darapsa myron,625.92
Papaipema nepheleptena,645.48
Atteva punctella,645.48
Macronoctua onusta,655.26
Smerinthus jamaicensis,665.04
Calophasia lunula,674.82
Acrobasis nuxvorella,713.94
Raphia frater,723.72
Euchaetes egle,772.62
Unknown sp.4,821.52
Prochoerodes transversata,831.3
Busseola segeta,841.08
Panthea pallescens,841.08
Busseola nairobica,889.98
Busseola fusca,948.66
Sesamia nonagrioides,948.66
Grammea virgo,958.44
Sesamia calamistis,958.44
Metanema determinata,987.78
Cerma cerintha,1026.9
Hypoprepia fucosa,1105.14
Caenurgina crassiuscula,1467
Euchlaena irraria,1897.32
