sp,hosts
Nymphalidae_Eresia_coela,1
Nymphalidae_Eresia_eunice,1
Nymphalidae_Ortilia_ithra,1
Nymphalidae_Telenassa_teletusa,1
Nymphalidae_Castilia_myia,1
Nymphalidae_Anthanassa_frisia,2
Nymphalidae_Anthanassa_texana,2
Nymphalidae_Anthanassa_ptolyca,1
Nymphalidae_Tegosa_anieta,2
Nymphalidae_Phyciodes_orseis,1
Nymphalidae_Phyciodes_mylitta,2
Nymphalidae_Phyciodes_phaon,1
Nymphalidae_Phyciodes_tharos,2
Nymphalidae_Phyciodes_batesii,1
Nymphalidae_Ortilia_orthia,1
Nymphalidae_Ortilia_liriope,4
Nymphalidae_Phystis_simois,1
Nymphalidae_Melitaea_diamina,3
Nymphalidae_Melitaea_cinxia,5
Nymphalidae_Melitaea_phoebe,1
Nymphalidae_Melitaea_aetherie,1
Nymphalidae_Melitaea_arduinna,1
Nymphalidae_Melitaea_didyma,3
Nymphalidae_Chlosyne_californica,1
Nymphalidae_Chlosyne_lacinia,2
Nymphalidae_Chlosyne_gaudealis,1
Nymphalidae_Chlosyne_narva,1
Nymphalidae_Chlosyne_janais,2
Nymphalidae_Dymasia_dymas,1
Nymphalidae_Texola_elada,1
Nymphalidae_Poladryas_arachne,1
Nymphalidae_Euphydryas_chalcedona,5
Nymphalidae_Euphydryas_anicia,4
Nymphalidae_Euphydryas_phaeton,7
Nymphalidae_Euphydryas_editha,1
Nymphalidae_Euphydryas_aurinia,2
Nymphalidae_Euphydryas_maturna,2
Nymphalidae_Euphydryas_gillettii,4
Nymphalidae_Doleschallia_bisaltide,4
Nymphalidae_Junonia_evarete,5
Nymphalidae_Junonia_genoveva,4
Nymphalidae_Junonia_coenia,3
Nymphalidae_Junonia_oenone,1
Nymphalidae_Junonia_almana,10
Nymphalidae_Junonia_westermanni,2
Nymphalidae_Junonia_sophia,2
Nymphalidae_Junonia_orithya,5
Nymphalidae_Junonia_hierta,1
Nymphalidae_Junonia_villida,10
Nymphalidae_Junonia_lemonias,6
Nymphalidae_Junonia_hedonia,1
Nymphalidae_Junonia_atlites,5
Nymphalidae_Junonia_iphita,1
Nymphalidae_Junonia_artaxia,1
Nymphalidae_Junonia_natalica,2
Nymphalidae_Junonia_terea,1
Nymphalidae_Yoma_algina,1
Nymphalidae_Yoma_sabina,2
Nymphalidae_Salamis_cacta,2
Nymphalidae_Hypolimnas_bolina,7
Nymphalidae_Hypolimnas_alimena,1
Nymphalidae_Hypolimnas_misippus,7
Nymphalidae_Hypolimnas_anthedon,2
Nymphalidae_Hypolimnas_dinarcha,1
Nymphalidae_Hypolimnas_usambara,1
Nymphalidae_Hypolimnas_salmacis,1
Nymphalidae_Hypolimnas_monteironis,1
Nymphalidae_Siproeta_stelenes,4
Nymphalidae_Siproeta_epaphus,1
Apocynaceae_Anartia_fatima,2
Apocynaceae_Anartia_amathea,2
Apocynaceae_Anartia_jatrophae,6
Nymphalidae_Kallima_paralekta,1
Nymphalidae_Kallima_limborgii,1
Nymphalidae_Kallima_inachus,4
Nymphalidae_Catacroptera_cloanthe,2
Nymphalidae_Rhinopalpa_polynice,2
Nymphalidae_Polygonia_zephyrus,3
Nymphalidae_Polygonia_gracilis,5
Nymphalidae_Polygonia_oreas,5
Nymphalidae_Polygonia_progne,4
Nymphalidae_Polygonia_interrogationis,6
Nymphalidae_Polygonia_comma,6
Nymphalidae_Polygonia_satyrus,7
Nymphalidae_Polygonia_egea,5
Nymphalidae_Polygonia_faunus,6
Nymphalidae_Nymphalis_xanthomelas,3
Nymphalidae_Nymphalis_antiopa,5
Nymphalidae_Nymphalis_californica,5
Nymphalidae_Nymphalis_polychloros,5
Nymphalidae_Kaniska_canace,4
Nymphalidae_Aglais_milberti,5
Nymphalidae_Aglais_urticae,2
Nymphalidae_Inachis_io,4
Nymphalidae_Antanartia_schaeneia,1
Nymphalidae_Antanartia_delius,1
Nymphalidae_Vanessa_indica,7
Nymphalidae_Vanessa_tameamea,1
Nymphalidae_Vanessa_atalanta,4
Nymphalidae_Vanessa_annabella,5
Nymphalidae_Vanessa_kershawi,1
Nymphalidae_Vanessa_cardui,3
Nymphalidae_Vanessa_virginiensis,5
Nymphalidae_Vanessa_itea,1
Nymphalidae_Hypanartia_paullus,2
Nymphalidae_Hypanartia_lethe,2
Nymphalidae_Symbrenthia_hypselis,1
Nymphalidae_Mynes_geoffroyi,1
Nymphalidae_Araschnia_burejana,1
Nymphalidae_Araschnia_levana,1
Nymphalidae_Colobura_dirce,6
Nymphalidae_Smyrna_blomfildia,1
Nymphalidae_Historis_odius,5
Nymphalidae_Historis_acheronta,2
Nymphalidae_Marpesia_chiron,3
Nymphalidae_Marpesia_eleuchea,1
Nymphalidae_Cyrestis_thyodamas,1
Nymphalidae_Chersonesia_rahria,1
Nymphalidae_Diaethria_clymena,2
Nymphalidae_Temenis_laothoe,1
Nymphalidae_Nica_flavilla,1
Nymphalidae_Epiphile_orea,1
Nymphalidae_Pyrrhogyra_crameri,1
Nymphalidae_Catonephele_acontius,3
Nymphalidae_Catonephele_numilia,3
Nymphalidae_Myscelia_cyaniris,1
Ranunculaceae_Hamadryas_februa,2
Nymphalidae_Byblia_anvatara,1
Nymphalidae_Neptidopsis_ophione,1
Nymphalidae_Mesoxantha_ethosea,1
Rubiaceae_Ariadne_enotrea,1
Nymphalidae_Eurytela_dryope,4
Pyrgomorphidae_Mestra_dorcas,1
Nymphalidae_Biblis_hyperia,2
Nymphalidae_Sallya_boisduvali,3
Rubiaceae_Ariadne_ariadne,3
Nymphalidae_Neptidopsis_fulgurata,1
Nymphalidae_Sephisa_dichroa,1
Nymphalidae_Sephisa_princeps,1
Nymphalidae_Sephisa_chandra,1
Nymphalidae_Apatura_iris,2
Nymphalidae_Apatura_nycteis,1
Nymphalidae_Hestina_assimilis,1
Nymphalidae_Hestina_japonica,1
Nymphalidae_Euripus_nyctelius,2
Nymphalidae_Sasakia_charonda,1
Nymphalidae_Doxocopa_laure,2
Nymphalidae_Chitoria_ulupi,1
Nymphalidae_Chitoria_chrysolora,1
Nymphalidae_Eulaceura_osteria,1
Nymphalidae_Herona_marathus,1
Nymphalidae_Asterocampa_idyja,1
Nymphalidae_Asterocampa_clyton,3
Nymphalidae_Asterocampa_leilia,1
Nymphalidae_Helcyra_superba,1
Nymphalidae_Timelaea_maculata,1
Nymphalidae_Timelaea_albescens,1
Nymphalidae_Stibochiona_nicea,2
Nymphalidae_Dichorragia_nesimachus,1
Nymphalidae_Amnosia_decora,1
Nymphalidae_Pseudergolis_wedah,1
Nymphalidae_Heliconius_sapho,1
Nymphalidae_Heliconius_antiochus,1
Nymphalidae_Heliconius_sara,1
Nymphalidae_Heliconius_hewitsoni,1
Nymphalidae_Heliconius_ricini,1
Nymphalidae_Heliconius_demeter,1
Nymphalidae_Heliconius_hortense,1
Nymphalidae_Heliconius_clysonymus,1
Nymphalidae_Heliconius_erato,1
Nymphalidae_Heliconius_hermathena,1
Nymphalidae_Heliconius_hecalesia,1
