"family","genus","species","binomial","type"
"Nymphalidae","Vanessa","annabella","Vanessa_annabella",0
"Nymphalidae","Vanessa","kershawi","Vanessa_kershawi",1
"Nymphalidae","Vanessa","cardui","Vanessa_cardui",0
"Nymphalidae","Vanessa","virginiensis","Vanessa_virginiensis",0
"Nymphalidae","Vanessa","itea","Vanessa_itea",1
"Nymphalidae","Hypanartia","paullus","Hypanartia_paullus",0
"Nymphalidae","Hypanartia","lethe","Hypanartia_lethe",0
"Nymphalidae","Symbrenthia","hypselis","Symbrenthia_hypselis",1
"Nymphalidae","Mynes","geoffroyi","Mynes_geoffroyi",1
"Nymphalidae","Araschnia","burejana","Araschnia_burejana",1
"Nymphalidae","Araschnia","levana","Araschnia_levana",1
"Nymphalidae","Colobura","dirce","Colobura_dirce",0
"Nymphalidae","Smyrna","blomfildia","Smyrna_blomfildia",1
"Nymphalidae","Historis","odius","Historis_odius",0
"Nymphalidae","Historis","acheronta","Historis_acheronta",0
"Nymphalidae","Marpesia","chiron","Marpesia_chiron",0
"Nymphalidae","Marpesia","eleuchea","Marpesia_eleuchea",1
"Nymphalidae","Cyrestis","thyodamas","Cyrestis_thyodamas",1
"Nymphalidae","Chersonesia","rahria","Chersonesia_rahria",1
"Nymphalidae","Diaethria","clymena","Diaethria_clymena",0
"Nymphalidae","Temenis","laothoe","Temenis_laothoe",1
"Nymphalidae","Nica","flavilla","Nica_flavilla",1
"Nymphalidae","Epiphile","orea","Epiphile_orea",1
"Nymphalidae","Pyrrhogyra","crameri","Pyrrhogyra_crameri",1
"Nymphalidae","Catonephele","acontius","Catonephele_acontius",0
"Nymphalidae","Catonephele","numilia","Catonephele_numilia",0
"Nymphalidae","Myscelia","cyaniris","Myscelia_cyaniris",1
"Ranunculaceae","Hamadryas","februa","Hamadryas_februa",0
"Nymphalidae","Byblia","anvatara","Byblia_anvatara",1
"Nymphalidae","Neptidopsis","ophione","Neptidopsis_ophione",1
"Nymphalidae","Mesoxantha","ethosea","Mesoxantha_ethosea",1
"Rubiaceae","Ariadne","enotrea","Ariadne_enotrea",1
"Nymphalidae","Eurytela","dryope","Eurytela_dryope",0
"Pyrgomorphidae","Mestra","dorcas","Mestra_dorcas",1
"Nymphalidae","Biblis","hyperia","Biblis_hyperia",0
"Nymphalidae","Sallya","boisduvali","Sallya_boisduvali",0
"Rubiaceae","Ariadne","ariadne","Ariadne_ariadne",0
"Nymphalidae","Neptidopsis","fulgurata","Neptidopsis_fulgurata",1
"Nymphalidae","Sephisa","dichroa","Sephisa_dichroa",1
"Nymphalidae","Sephisa","princeps","Sephisa_princeps",1
"Nymphalidae","Sephisa","chandra","Sephisa_chandra",1
"Nymphalidae","Apatura","iris","Apatura_iris",0
"Nymphalidae","Apatura","nycteis","Apatura_nycteis",1
"Nymphalidae","Hestina","assimilis","Hestina_assimilis",1
"Nymphalidae","Hestina","japonica","Hestina_japonica",1
"Nymphalidae","Euripus","nyctelius","Euripus_nyctelius",0
"Nymphalidae","Sasakia","charonda","Sasakia_charonda",1
"Nymphalidae","Doxocopa","laure","Doxocopa_laure",0
"Nymphalidae","Chitoria","ulupi","Chitoria_ulupi",1
"Nymphalidae","Chitoria","chrysolora","Chitoria_chrysolora",1
"Nymphalidae","Eulaceura","osteria","Eulaceura_osteria",1
"Nymphalidae","Herona","marathus","Herona_marathus",1
"Nymphalidae","Asterocampa","idyja","Asterocampa_idyja",1
"Nymphalidae","Asterocampa","clyton","Asterocampa_clyton",0
"Nymphalidae","Asterocampa","leilia","Asterocampa_leilia",1
"Nymphalidae","Helcyra","superba","Helcyra_superba",1
"Nymphalidae","Timelaea","maculata","Timelaea_maculata",1
"Nymphalidae","Timelaea","albescens","Timelaea_albescens",1
"Nymphalidae","Stibochiona","nicea","Stibochiona_nicea",0
"Nymphalidae","Dichorragia","nesimachus","Dichorragia_nesimachus",1
