Family,Genus,Species,wingspan(mm),wingspan-male(mm),wingspan-female(mm),bodyVolume(mm3),hostType,num.Host.Plant.genera,Source
Geometridae,Hydriomena,impluviata,,,,37.5,,-,Zeuss-2016
Geometridae,Hydriomena,ruberata,,,,30,,-,Zeuss-2016
Geometridae,Idaea,admiranda,,,,7.8,,-,Zeuss-2016
Geometridae,Idaea,albarracina,,,,12.7,,-,Zeuss-2016
Geometridae,Idaea,albitorquata,,,,15.6,,-,Zeuss-2016
Geometridae,Idaea,alicantaria,,,,4.9,,-,Zeuss-2016
Geometridae,Idaea,alyssumata,,,,12.7,,-,Zeuss-2016
Geometridae,Idaea,attenuaria,,,,2.6,,-,Zeuss-2016
Geometridae,Idaea,aureolaria,,,,24.9,,-,Zeuss-2016
Geometridae,Idaea,aversata,,,,27.4,,-,Zeuss-2016
Geometridae,Idaea,belemiata,,,,15.8,,-,Zeuss-2016
Geometridae,Idaea,bigladiata,,,,14.2,,-,Zeuss-2016
Geometridae,Idaea,biselata,,,,14.4,,-,Zeuss-2016
Geometridae,Idaea,blaesii,,,,6.5,,-,Zeuss-2016
Geometridae,Idaea,calunetaria,,,,21.7,,-,Zeuss-2016
Geometridae,Idaea,camparia,,,,18.3,,-,Zeuss-2016
Geometridae,Idaea,carvalhoi,,,,10.7,,-,Zeuss-2016
Geometridae,Idaea,cervantaria,,,,22,,-,Zeuss-2016
Geometridae,Idaea,circuitaria,,,,5.4,,-,Zeuss-2016
Geometridae,Idaea,completa,,,,7.2,,-,Zeuss-2016
Geometridae,Idaea,consanguiberica,,,,9.9,,-,Zeuss-2016
Geometridae,Idaea,consanguinaria,,,,16.3,,-,Zeuss-2016
Geometridae,Idaea,consolidata,,,,22.6,,-,Zeuss-2016
Geometridae,Idaea,contiguaria,,,,19.8,,-,Zeuss-2016
Geometridae,Idaea,degeneraria,,,,20,,-,Zeuss-2016
Geometridae,Idaea,deitanaria,,,,3.9,,-,Zeuss-2016
Geometridae,Idaea,determinata,,,,25.2,,-,Zeuss-2016
Geometridae,Idaea,deversaria,,,,21.2,,-,Zeuss-2016
Geometridae,Idaea,dilutaria,,,,11.7,,-,Zeuss-2016
Geometridae,Idaea,dimidiata,,,,10.1,,-,Zeuss-2016
Geometridae,Idaea,distinctaria,,,,11.7,,-,Zeuss-2016
Geometridae,Idaea,efflorata,,,,8,,-,Zeuss-2016
Geometridae,Idaea,elongaria,,,,12.5,,-,Zeuss-2016
Geometridae,Idaea,emarginata,,,,18.3,,-,Zeuss-2016
Geometridae,Idaea,eugeniata,,,,15.9,,-,Zeuss-2016
Geometridae,Idaea,exilaria,,,,14.5,,-,Zeuss-2016
Geometridae,Idaea,filicata,,,,15.1,,-,Zeuss-2016
Geometridae,Idaea,flaveolaria,,,,10.9,,-,Zeuss-2016
Geometridae,Idaea,fractilineata,,,,9.5,,-,Zeuss-2016
Geometridae,Idaea,fuscovenosa,,,,7.9,,-,Zeuss-2016
Geometridae,Idaea,humiliata,,,,11.6,,-,Zeuss-2016
Geometridae,Idaea,incalcarata,,,,8.6,,-,Zeuss-2016
Geometridae,Idaea,incisaria,,,,13.1,,-,Zeuss-2016
Geometridae,Idaea,infirmaria,,,,10,,-,Zeuss-2016
Geometridae,Idaea,inquinata,,,,10.6,,-,Zeuss-2016
Geometridae,Idaea,intermedia,,,,8.3,,-,Zeuss-2016
Geometridae,Idaea,korbi,,,,11.8,,-,Zeuss-2016
Geometridae,Idaea,laevigata,,,,16.8,,-,Zeuss-2016
Geometridae,Idaea,leipnitzi,,,,6.5,,-,Zeuss-2016
Geometridae,Idaea,libycata,,,,22,,-,Zeuss-2016
Geometridae,Idaea,litigiosaria,,,,19.3,,-,Zeuss-2016
Geometridae,Idaea,longaria,,,,20.1,,-,Zeuss-2016
Geometridae,Idaea,lusohispanica,,,,15,,-,Zeuss-2016
Geometridae,Idaea,luteolaria,,,,11,,-,Zeuss-2016
Geometridae,Idaea,lutulentaria,,,,9.5,,-,Zeuss-2016
Geometridae,Idaea,macilentaria,,,,15.7,,-,Zeuss-2016
Geometridae,Idaea,mancipiata,,,,16.3,,-,Zeuss-2016
Geometridae,Idaea,manicaria,,,,10.3,,-,Zeuss-2016
Geometridae,Idaea,mediaria,,,,10.3,,-,Zeuss-2016
Geometridae,Idaea,metohiensis,,,,15.1,,-,Zeuss-2016
Geometridae,Idaea,minuscularia,,,,8.5,,-,Zeuss-2016
Geometridae,Idaea,moniliata,,,,24.2,,-,Zeuss-2016
Geometridae,Idaea,muricata,,,,21.3,,-,Zeuss-2016
Geometridae,Idaea,mustelata,,,,7.3,,-,Zeuss-2016
Geometridae,Idaea,mutilata,,,,19.2,,-,Zeuss-2016
Geometridae,Idaea,nevadata,,,,3.6,,-,Zeuss-2016
Geometridae,Idaea,nigrolineata,,,,7,,-,Zeuss-2016
Geometridae,Idaea,nitidata,,,,22.7,,-,Zeuss-2016
Geometridae,Idaea,obliquaria,,,,11.8,,-,Zeuss-2016
Geometridae,Idaea,obsoletaria,,,,17.9,,-,Zeuss-2016
Geometridae,Idaea,ochrata,,,,16.1,,-,Zeuss-2016
Geometridae,Idaea,ossiculata,,,,10.6,,-,Zeuss-2016
Geometridae,Idaea,ostrinaria,,,,16,,-,Zeuss-2016
Geometridae,Idaea,palaestinensis,,,,21.6,,-,Zeuss-2016
Geometridae,Idaea,pallidata,,,,15.8,,-,Zeuss-2016
Geometridae,Idaea,politaria,,,,8.5,,-,Zeuss-2016
Geometridae,Idaea,predotaria,,,,12.3,,-,Zeuss-2016
Geometridae,Idaea,rainerii,,,,14.3,,-,Zeuss-2016
Geometridae,Idaea,rhodogrammaria,,,,3.7,,-,Zeuss-2016
Geometridae,Idaea,rubraria,,,,25.1,,-,Zeuss-2016
Geometridae,Idaea,rufaria,,,,30.8,,-,Zeuss-2016
Geometridae,Idaea,rupicolaria,,,,15.2,,-,Zeuss-2016
Geometridae,Idaea,rusticata,,,,11.7,,-,Zeuss-2016
Geometridae,Idaea,saleri,,,,5.2,,-,Zeuss-2016
Geometridae,Idaea,sardoniata,,,,12.9,,-,Zeuss-2016
Geometridae,Idaea,seriata,,,,11.7,,-,Zeuss-2016
Geometridae,Idaea,sericeata,,,,12.2,,-,Zeuss-2016
Geometridae,Idaea,serpentata,,,,12.7,,-,Zeuss-2016
Geometridae,Idaea,simplicior,,,,25.2,,-,Zeuss-2016
Geometridae,Idaea,spissilimbaria,,,,11.5,,-,Zeuss-2016
Geometridae,Idaea,squalidaria,,,,6.5,,-,Zeuss-2016
Geometridae,Idaea,straminata,,,,17,,-,Zeuss-2016
Geometridae,Idaea,subsericeata,,,,24.4,,-,Zeuss-2016
Geometridae,Idaea,sylvestraria,,,,20.9,,-,Zeuss-2016
Geometridae,Idaea,trigeminata,,,,20.2,,-,Zeuss-2016
Geometridae,Idaea,typicata,,,,10.9,,-,Zeuss-2016
Geometridae,Idaea,vesubiata,,,,16.9,,-,Zeuss-2016
Geometridae,Jodis,lactearia,,,,14.1,,-,Zeuss-2016
Geometridae,Jodis,putata,,,,8.9,,-,Zeuss-2016
Geometridae,Kuchleria,insignata,,,,17.8,,-,Zeuss-2016
Geometridae,Lampropteryx,otregiata,,,,18.6,,-,Zeuss-2016
Geometridae,Lampropteryx,suffumata,,,,22.6,,-,Zeuss-2016
Geometridae,Larentia,clavaria,,,,69.9,,-,Zeuss-2016
Geometridae,Lithostege,castiliaria,,,,8.8,,-,Zeuss-2016
Geometridae,Lithostege,clarae,,,,32.2,,-,Zeuss-2016
Geometridae,Lithostege,coassata,,,,17.3,,-,Zeuss-2016
Geometridae,Lithostege,duponcheli,,,,21.9,,-,Zeuss-2016
Geometridae,Lithostege,farinata,,,,42,,-,Zeuss-2016
Geometridae,Lobophora,halterata,,,,19.8,,-,Zeuss-2016
Geometridae,Lythria,cruentaria,,,,13.7,,-,Zeuss-2016
Geometridae,Lythria,plumularia,,,,13.9,,-,Zeuss-2016
Geometridae,Lythria,purpuraria,,,,23.7,,-,Zeuss-2016
Geometridae,Lythria,sanguinaria,,,,21,,-,Zeuss-2016
Geometridae,Malacodea,regelaria,,,,10.3,,-,Zeuss-2016
Geometridae,Martania,taeniata,,,,19.3,,-,Zeuss-2016
Geometridae,Mattia,callidaria,,,,20.8,,-,Zeuss-2016
Geometridae,Melanthia,alaudaria,,,,15.7,,-,Zeuss-2016
Geometridae,Melanthia,procellata,,,,33.7,,-,Zeuss-2016
Geometridae,Mesoleuca,albicillata,,,,35.7,,-,Zeuss-2016
Geometridae,Mesotype,parallelolineata,,,,27.4,,-,Zeuss-2016
Geometridae,Mesotype,verberata,,,,36,,-,Zeuss-2016
Geometridae,Microloxia,herbaria,,,,15,,-,Zeuss-2016
Geometridae,Minoa,murinata,,,,9.7,,-,Zeuss-2016
Geometridae,Myinodes,interpunctaria,,,,3.8,,-,Zeuss-2016
Geometridae,Nebula,achromaria,,,,20.6,,-,Zeuss-2016
Geometridae,Nebula,ibericata,,,,16.3,,-,Zeuss-2016
Geometridae,Nebula,nebulata,,,,24.6,,-,Zeuss-2016
Geometridae,Nebula,senectaria,,,,16.9,,-,Zeuss-2016
Geometridae,Nothocasis,sertata,,,,23.1,,-,Zeuss-2016
Geometridae,Oar,reaumuraria,,,,11.7,,-,Zeuss-2016
Geometridae,Operophtera,brumata,,,,30.1,,-,Zeuss-2016
Geometridae,Operophtera,fagata,,,,20.9,,-,Zeuss-2016
Geometridae,Orthonama,obstipata,,,,15.6,,-,Zeuss-2016
Geometridae,Orthonama,vittata,,,,21.3,,-,Zeuss-2016
Geometridae,Orthostixis,cribraria,,,,14.3,,-,Zeuss-2016
Geometridae,Oulobophora,internata,,,,15.3,,-,Zeuss-2016
Geometridae,Pareulype,berberata,,,,26,,-,Zeuss-2016
Geometridae,Pasiphila,chloerata,,,,18,,-,Zeuss-2016
Geometridae,Pasiphila,debiliata,,,,19.5,,-,Zeuss-2016
Geometridae,Pasiphila,rectangulata,,,,32.6,,-,Zeuss-2016
Geometridae,Pelurga,comitata,,,,29.9,,-,Zeuss-2016
Geometridae,Pennithera,firmata,,,,40.5,,-,Zeuss-2016
Geometridae,Perizoma,affinitata,,,,19,,-,Zeuss-2016
Geometridae,Perizoma,alchemillata,,,,12.6,,-,Zeuss-2016
Geometridae,Perizoma,bifaciata,,,,13,,-,Zeuss-2016
Geometridae,Perizoma,blandiata,,,,12.8,,-,Zeuss-2016
Geometridae,Perizoma,flavofasciata,,,,26.8,,-,Zeuss-2016
Geometridae,Perizoma,hydrata,,,,20.5,,-,Zeuss-2016
Geometridae,Perizoma,incultaria,,,,11.1,,-,Zeuss-2016
Geometridae,Perizoma,lugdunaria,,,,15,,-,Zeuss-2016
Geometridae,Perizoma,minorata,,,,9.4,,-,Zeuss-2016
Geometridae,Perizoma,obsoletata,,,,25.2,,-,Zeuss-2016
Geometridae,Phaiogramma,etruscaria,,,,20.4,,-,Zeuss-2016
Geometridae,Phaiogramma,faustinata,,,,26.1,,-,Zeuss-2016
Geometridae,Phibalapteryx,virgata,,,,12.6,,-,Zeuss-2016
Geometridae,Philereme,transversata,,,,38.6,,-,Zeuss-2016
Geometridae,Philereme,vetulata,,,,25.6,,-,Zeuss-2016
Geometridae,Plemyria,rubiginata,,,,33.4,,-,Zeuss-2016
Geometridae,Problepsis,ocellata,,,,72,,-,Zeuss-2016
Geometridae,Proteuchloris,neriaria,,,,28.9,,-,Zeuss-2016
Geometridae,Pseudoterpna,coronillaria,,,,54.6,,-,Zeuss-2016
Geometridae,Pseudoterpna,corsicaria,,,,42.7,,-,Zeuss-2016
Geometridae,Pseudoterpna,pruinata,,,,65.1,,-,Zeuss-2016
Geometridae,Pterapherapteryx,sexalata,,,,9.2,,-,Zeuss-2016
Geometridae,Rheumaptera,hastata,,,,30.5,,-,Zeuss-2016
Geometridae,Rhodometra,sacraria,,,,20.6,,-,Zeuss-2016
Geometridae,Rhodostrophia,badiaria,,,,38.8,,-,Zeuss-2016
Geometridae,Rhodostrophia,calabra,,,,48.5,,-,Zeuss-2016
Geometridae,Rhodostrophia,pudorata,,,,38.4,,-,Zeuss-2016
Geometridae,Rhodostrophia,vibicaria,,,,38.2,,-,Zeuss-2016
Geometridae,Schistostege,decussata,,,,24.2,,-,Zeuss-2016
Geometridae,Schistostege,nubilaria,,,,31.9,,-,Zeuss-2016
Geometridae,Scopula,caricaria,,,,9.3,,-,Zeuss-2016
Geometridae,Scopula,concinnaria,,,,44.6,,-,Zeuss-2016
Geometridae,Scopula,corrivalaria,,,,21.1,,-,Zeuss-2016
Geometridae,Scopula,decolor,,,,18.1,,-,Zeuss-2016
Geometridae,Scopula,decorata,,,,18.6,,-,Zeuss-2016
Geometridae,Scopula,emutaria,,,,15.6,,-,Zeuss-2016
Geometridae,Scopula,flaccidaria,,,,18.3,,-,Zeuss-2016
Geometridae,Scopula,floslactata,,,,24.9,,-,Zeuss-2016
Geometridae,Scopula,frigidaria,,,,7.2,,-,Zeuss-2016
Geometridae,Scopula,honestata,,,,23,,-,Zeuss-2016
Geometridae,Scopula,imitaria,,,,21.7,,-,Zeuss-2016
Geometridae,Scopula,immorata,,,,46.2,,-,Zeuss-2016
Geometridae,Scopula,immutata,,,,21.6,,-,Zeuss-2016
Geometridae,Scopula,incanata,,,,24.9,,-,Zeuss-2016
Geometridae,Scopula,luridata,,,,16.1,,-,Zeuss-2016
Geometridae,Scopula,marginepunctata,,,,20.9,,-,Zeuss-2016
Geometridae,Scopula,minorata,,,,10.9,,-,Zeuss-2016
Geometridae,Scopula,nemoraria,,,,24.1,,-,Zeuss-2016
Geometridae,Scopula,nigropunctata,,,,30,,-,Zeuss-2016
Geometridae,Scopula,ochraceata,,,,17.4,,-,Zeuss-2016
Geometridae,Scopula,orientalis,,,,34.5,,-,Zeuss-2016
Geometridae,Scopula,ornata,,,,18.1,,-,Zeuss-2016
Geometridae,Scopula,rubellata,,,,23.5,,-,Zeuss-2016
Geometridae,Scopula,rubiginata,,,,9.9,,-,Zeuss-2016
Geometridae,Scopula,scalercii,,,,10.8,,-,Zeuss-2016
Geometridae,Scopula,submutata,,,,25,,-,Zeuss-2016
Geometridae,Scopula,subpunctaria,,,,23.6,,-,Zeuss-2016
Geometridae,Scopula,ternata,,,,18.8,,-,Zeuss-2016
Geometridae,Scopula,tessellaria,,,,24.6,,-,Zeuss-2016
Geometridae,Scopula,turbulentaria,,,,21,,-,Zeuss-2016
Geometridae,Scopula,umbelaria,,,,41.5,,-,Zeuss-2016
Geometridae,Scopula,vigilata,,,,14.3,,-,Zeuss-2016
Geometridae,Scopula,virgulata,,,,19.5,,-,Zeuss-2016
Geometridae,Scotopteryx,alfacaria,,,,56.2,,-,Zeuss-2016
Geometridae,Scotopteryx,angularia,,,,68.6,,-,Zeuss-2016
Geometridae,Scotopteryx,bipunctaria,,,,54.1,,-,Zeuss-2016
Geometridae,Scotopteryx,chenopodiata,,,,64.7,,-,Zeuss-2016
Geometridae,Scotopteryx,coarctaria,,,,30.7,,-,Zeuss-2016
Geometridae,Scotopteryx,coelinaria,,,,60.4,,-,Zeuss-2016
Geometridae,Scotopteryx,luridata,,,,33.1,,-,Zeuss-2016
Geometridae,Scotopteryx,moeniata,,,,51.8,,-,Zeuss-2016
Geometridae,Scotopteryx,mucronata,,,,42.6,,-,Zeuss-2016
Geometridae,Scotopteryx,octodurensis,,,,51.9,,-,Zeuss-2016
Geometridae,Scotopteryx,olympia,,,,29.4,,-,Zeuss-2016
Geometridae,Scotopteryx,peribolata,,,,29,,-,Zeuss-2016
Geometridae,Scotopteryx,vicinaria,,,,25.8,,-,Zeuss-2016
Geometridae,Solitanea,mariae,,,,27.2,,-,Zeuss-2016
Geometridae,Thalera,fimbrialis,,,,41.2,,-,Zeuss-2016
Geometridae,Thera,britannica,,,,27.7,,-,Zeuss-2016
Geometridae,Thera,cembrae,,,,24.5,,-,Zeuss-2016
Geometridae,Thera,cognata,,,,14.2,,-,Zeuss-2016
Geometridae,Thera,cupressata,,,,27.1,,-,Zeuss-2016
Geometridae,Thera,juniperata,,,,20.2,,-,Zeuss-2016
Geometridae,Thera,obeliscata,,,,25.2,,-,Zeuss-2016
Geometridae,Thera,variata,,,,18.6,,-,Zeuss-2016
Geometridae,Thera,vetustata,,,,17.1,,-,Zeuss-2016
Geometridae,Thetidia,plusiaria,,,,45.2,,-,Zeuss-2016
Geometridae,Thetidia,smaragdaria,,,,53.3,,-,Zeuss-2016
Geometridae,Timandra,comae,,,,20.3,,-,Zeuss-2016
Geometridae,Timandra,griseata,,,,27.5,,-,Zeuss-2016
Geometridae,Trichopteryx,carpinata,,,,19.8,,-,Zeuss-2016
Geometridae,Trichopteryx,polycommata,,,,11.7,,-,Zeuss-2016
Geometridae,Triphosa,dubitata,,,,76,,-,Zeuss-2016
Geometridae,Triphosa,sabaudiata,,,,104.2,,-,Zeuss-2016
Geometridae,Triphosa,tauteli,,,,99.5,,-,Zeuss-2016
Geometridae,Venusia,blomeri,,,,12.9,,-,Zeuss-2016
Geometridae,Venusia,cambrica,,,,12.4,,-,Zeuss-2016
Geometridae,Xanthorhoe,abrasaria,,,,16.9,,-,Zeuss-2016
Geometridae,Xanthorhoe,annotinata,,,,18.3,,-,Zeuss-2016
Geometridae,Xanthorhoe,biriviata,,,,21.5,,-,Zeuss-2016
Geometridae,Xanthorhoe,decoloraria,,,,20.4,,-,Zeuss-2016
Geometridae,Xanthorhoe,designata,,,,19.4,,-,Zeuss-2016
Geometridae,Xanthorhoe,ferrugata,,,,17.5,,-,Zeuss-2016
Geometridae,Xanthorhoe,fluctuata,,,,28.1,,-,Zeuss-2016
Geometridae,Xanthorhoe,friedrichi,,,,12.4,,-,Zeuss-2016
Geometridae,Xanthorhoe,incursata,,,,37,,-,Zeuss-2016
Geometridae,Xanthorhoe,montanata,,,,21.8,,-,Zeuss-2016
Geometridae,Xanthorhoe,oxybiata,,,,18.2,,-,Zeuss-2016
Geometridae,Xanthorhoe,quadrifasiata,,,,33.1,,-,Zeuss-2016
Geometridae,Xanthorhoe,vidanoi,,,,13.8,,-,Zeuss-2016
Geometridae,Xenochlorodes,olympiaria,,,,17.4,,-,Zeuss-2016
Hesperiidae,Carcharodus,alceae,,,,105.5,,-,Zeuss-2016
Hesperiidae,Carcharodus,boeticus,,,,92.4,,-,Zeuss-2016
Hesperiidae,Carcharodus,flocciferus,,,,121.7,,-,Zeuss-2016
Hesperiidae,Carcharodus,lavatherae,,,,104,,-,Zeuss-2016
Hesperiidae,Carcharodus,orientalis,,,,121.4,,-,Zeuss-2016
Hesperiidae,Carterocephalus,palaemon,,,,62.8,,-,Zeuss-2016
Hesperiidae,Carterocephalus,silvicolus,,,,53.5,,-,Zeuss-2016
Hesperiidae,Erynnis,marloyi,,,,68.9,,-,Zeuss-2016
Hesperiidae,Erynnis,tages,,,,59.2,,-,Zeuss-2016
Hesperiidae,Gegenes,nostrodamus,,,,103.6,,-,Zeuss-2016
Hesperiidae,Gegenes,pumilio,,,,84.1,,-,Zeuss-2016
Hesperiidae,Hesperia,comma,,,,96.1,,-,Zeuss-2016
Hesperiidae,Heteropterus,morpheus,,,,70.9,,-,Zeuss-2016
Hesperiidae,Muschampia,cribrellum,,,,102.2,,-,Zeuss-2016
Hesperiidae,Muschampia,proto,,,,87.9,,-,Zeuss-2016
Hesperiidae,Muschmpia,tessellum,,,,147,,-,Zeuss-2016
Hesperiidae,Ochlodes,venatus,,,,102.7,,-,Zeuss-2016
Hesperiidae,Pyrgus,alveus,,,,60,,-,Zeuss-2016
Hesperiidae,Pyrgus,andromedae,,,,62.1,,-,Zeuss-2016
Hesperiidae,Pyrgus,armoricanus,,,,60.4,,-,Zeuss-2016
Hesperiidae,Pyrgus,cacaliae,,,,74.3,,-,Zeuss-2016
Hesperiidae,Pyrgus,carlinae,,,,97.3,,-,Zeuss-2016
Hesperiidae,Pyrgus,carlinae,,,,65.5,,-,Zeuss-2016
Hesperiidae,Pyrgus,carthami,,,,91.8,,-,Zeuss-2016
Hesperiidae,Pyrgus,centaureae,,,,56.5,,-,Zeuss-2016
Hesperiidae,Pyrgus,cinarae,,,,117.2,,-,Zeuss-2016
Hesperiidae,Pyrgus,foulquieri,,,,82.5,,-,Zeuss-2016
Hesperiidae,Pyrgus,malvae,,,,36.3,,-,Zeuss-2016
Hesperiidae,Pyrgus,onopordi,,,,78.7,,-,Zeuss-2016
Hesperiidae,Pyrgus,serratulae,,,,67.2,,-,Zeuss-2016
Hesperiidae,Pyrgus,sidae,,,,120.2,,-,Zeuss-2016
Hesperiidae,Pyrgus,warrenensis,,,,40.4,,-,Zeuss-2016
Hesperiidae,Spialia,orbifer,,,,67.4,,-,Zeuss-2016
Hesperiidae,Spialia,phlomidis,,,,97.8,,-,Zeuss-2016
Hesperiidae,Spialia,sertorius,,,,57.9,,-,Zeuss-2016
Hesperiidae,Thymelicus,acteon,,,,58.3,,-,Zeuss-2016
Hesperiidae,Thymelicus,hyrax,,,,85.4,,-,Zeuss-2016
Hesperiidae,Thymelicus,lineola,,,,54.6,,-,Zeuss-2016
Hesperiidae,Thymelicus,sylvestris,,,,68.5,,-,Zeuss-2016
Lycaenidae,Agriades,glandon,,,,14.7,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,admetus,,,,21.6,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,ainsae,,,,19.3,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,amanda,,,,34.7,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,aroaniensis,,,,19.8,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,damon,,,,17.9,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,dolus,,,,31.6,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,escheri,,,,24.7,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,fabressei,,,,30,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,humedasae,,,,21.2,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,iphigenia,,,,14.8,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,pyrenaicus,,,,17.9,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,ripartii,,,,25.7,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,thersites,,,,18.4,,-,Zeuss-2016
Lycaenidae,Agrodiaetus,violeta,,,,25.2,,-,Zeuss-2016
Lycaenidae,Albulina,orbitulus,,,,17.4,,-,Zeuss-2016
Lycaenidae,Aricia,agestis,,,,19.2,,-,Zeuss-2016
Lycaenidae,Aricia,artaxerxes,,,,15.2,,-,Zeuss-2016
Lycaenidae,Callophrys,avis,,,,23.7,,-,Zeuss-2016
Lycaenidae,Callophrys,rubi,,,,22,,-,Zeuss-2016
Lycaenidae,Celastrina,argiolus,,,,18.6,,-,Zeuss-2016
Lycaenidae,Chilades,trochylus,,,,6.6,,-,Zeuss-2016
Lycaenidae,Cupido,lorquinii,,,,11.5,,-,Zeuss-2016
Lycaenidae,Cupido,minimus,,,,7,,-,Zeuss-2016
Lycaenidae,Cupido,osiris,,,,12.4,,-,Zeuss-2016
Lycaenidae,Cyaniris,semiargus,,,,22.7,,-,Zeuss-2016
Lycaenidae,Eumedonia,eumedon,,,,31.8,,-,Zeuss-2016
Lycaenidae,Everes,alcetas,,,,16.8,,-,Zeuss-2016
Lycaenidae,Everes,argiades,,,,16.2,,-,Zeuss-2016
Lycaenidae,Everes,decoloratus,,,,11.5,,-,Zeuss-2016
Lycaenidae,Glaucopsyche,alexis,,,,18.6,,-,Zeuss-2016
Lycaenidae,Glaucopsyche,melanops,,,,13.7,,-,Zeuss-2016
Lycaenidae,Iolana,iolas,,,,65.1,,-,Zeuss-2016
Lycaenidae,Kretania,eurypilus,,,,20.9,,-,Zeuss-2016
Lycaenidae,Laeopsis,roboris,,,,39.5,,-,Zeuss-2016
Lycaenidae,Lampides,boeticus,,,,34.6,,-,Zeuss-2016
Lycaenidae,Leptotes,pirithous,,,,11.5,,-,Zeuss-2016
Lycaenidae,Lycaena,alciphron,,,,57.1,,-,Zeuss-2016
Lycaenidae,Lycaena,dispar,,,,78.6,,-,Zeuss-2016
Lycaenidae,Lycaena,helle,,,,21.4,,-,Zeuss-2016
Lycaenidae,Lycaena,hippothoe,,,,47.6,,-,Zeuss-2016
Lycaenidae,Lycaena,ottomana,,,,46,,-,Zeuss-2016
Lycaenidae,Lycaena,phlaeas,,,,33.9,,-,Zeuss-2016
Lycaenidae,Lycaena,thersamon,,,,35.5,,-,Zeuss-2016
Lycaenidae,Lycaena,thetis,,,,26.9,,-,Zeuss-2016
Lycaenidae,Lycaena,tityrus,,,,64.2,,-,Zeuss-2016
Lycaenidae,Lycaena,virgaureae,,,,47.9,,-,Zeuss-2016
Lycaenidae,Lysandra,albicans,,,,33.6,,-,Zeuss-2016
Lycaenidae,Lysandra,bellargus,,,,26.4,,-,Zeuss-2016
Lycaenidae,Lysandra,coridon,,,,28.6,,-,Zeuss-2016
Lycaenidae,Lysandra,hispana,,,,32.8,,-,Zeuss-2016
Lycaenidae,Maculinea,alcon,,,,25.2,,-,Zeuss-2016
Lycaenidae,Maculinea,arion,,,,50.7,,-,Zeuss-2016
Lycaenidae,Maculinea,nausithous,,,,33.2,,-,Zeuss-2016
Lycaenidae,Maculinea,telejus,,,,29,,-,Zeuss-2016
Lycaenidae,Meleageria,daphnis,,,,37.9,,-,Zeuss-2016
Lycaenidae,Neolysandra,coelestina,,,,29.9,,-,Zeuss-2016
Lycaenidae,Plebejus,argus,,,,14.7,,-,Zeuss-2016
Lycaenidae,Plebejus,argyrognomon,,,,22.3,,-,Zeuss-2016
Lycaenidae,Plebejus,idas,,,,22.5,,-,Zeuss-2016
Lycaenidae,Plebejus,pylaon,,,,24,,-,Zeuss-2016
Lycaenidae,Plebicula,dorylas,,,,24,,-,Zeuss-2016
Lycaenidae,Plebicula,golgus,,,,21,,-,Zeuss-2016
Lycaenidae,Plebicula,nivescens,,,,27.7,,-,Zeuss-2016
Lycaenidae,Polyommatus,eros,,,,18.3,,-,Zeuss-2016
Lycaenidae,Polyommatus,icarus,,,,19.7,,-,Zeuss-2016
Lycaenidae,Pseudaricia,nicias,,,,15.8,,-,Zeuss-2016
Lycaenidae,Pseudophilotes,abencerragus,,,,8.5,,-,Zeuss-2016
Lycaenidae,Pseudophilotes,baton,,,,11.8,,-,Zeuss-2016
Lycaenidae,Pseudophilotes,bavius,,,,12,,-,Zeuss-2016
Lycaenidae,Pseudophilotes,panoptes,,,,12.5,,-,Zeuss-2016
Lycaenidae,Pseudophilotes,vicrama,,,,15.5,,-,Zeuss-2016
Lycaenidae,Quercusia,quercus,,,,54.6,,-,Zeuss-2016
Lycaenidae,Satyrium,acaciae,,,,32,,-,Zeuss-2016
Lycaenidae,Satyrium,esculi,,,,34.1,,-,Zeuss-2016
Lycaenidae,Satyrium,ilicis,,,,37.8,,-,Zeuss-2016
Lycaenidae,Satyrium,pruni,,,,30.6,,-,Zeuss-2016
Lycaenidae,Satyrium,spini,,,,37.1,,-,Zeuss-2016
Lycaenidae,Satyrium,w-album,,,,26,,-,Zeuss-2016
Lycaenidae,Scolitantides,orion,,,,12.6,,-,Zeuss-2016
Lycaenidae,Tarucus,balcanicus,,,,8.8,,-,Zeuss-2016
Lycaenidae,Tarucus,theophrastus,,,,14.5,,-,Zeuss-2016
Lycaenidae,Thecla,betulae,,,,44.4,,-,Zeuss-2016
Lycaenidae,Tomares,ballus,,,,30.9,,-,Zeuss-2016
Lycaenidae,Tomares,nogelii,,,,23.3,,-,Zeuss-2016
Lycaenidae,Ultraaricia,anteros,,,,13,,-,Zeuss-2016
Lycaenidae,Vacciniia,opilete,,,,14,,-,Zeuss-2016
Lycaenidae,Zizeeria,knysna,,,,10.6,,-,Zeuss-2016
