Family,Genus,Species,wingspan(mm),wingspan-male(mm),wingspan-female(mm),bodyVolume(mm3),hostType,num.Host.Plant.genera,Source
,Lycaeides,melissa,14.5,,,,1,1,Sekar-2011
,Lycaena,arota,16.5,,,,1,2,Sekar-2011
,Lycaena,helle,13,,,,1,2,Sekar-2011
,Lycaena,hippothoe,16.5,,,,1,2,Sekar-2011
,Lycaena,virgaureae,16.5,,,,1,2,Sekar-2011
,Lysandra,coridon,16.5,,,,1,1,Sekar-2011
,Maculinea,alcon,18,,,,1,1,Sekar-2011
,Maniola,jurtina,23.5,,,,0,3,Sekar-2011
,Melanargia,galathea,24.5,,,,0,3,Sekar-2011
,Melitaea,athalia,19,,,,0,3,Sekar-2011
,Melitaea,cinxia,18,,,,0,3,Sekar-2011
,Melitaea,diamina,20,,,,1,2,Sekar-2011
,Melitaea,phoebe,22,,,,1,1,Sekar-2011
,Neominois,ridingsii,23.5,,,,1,1,Sekar-2011
,Ochlodes,sylvanus,15.5,,,,0,3,Sekar-2011
,Parnassius,apollo,38.5,,,,1,2,Sekar-2011
,Parnassius,clodius,28,,,,1,1,Sekar-2011
,Parnassius,mnemosyne,28.5,,,,1,2,Sekar-2011
,Parnassius,phoebus,31.5,,,,1,1,Sekar-2011
,Parnassius,smintheus,27.5,,,,1,1,Sekar-2011
,Pieris,melete,25,,,,1,1,Sekar-2011
,Pieris,napi,20,,,,0,3,Sekar-2011
,Plebejus,argus,13.5,,,,0,3,Sekar-2011
,Polyommatus,icarus,16,,,,1,2,Sekar-2011
,Proclossiana,eunomia,21.5,,,,1,2,Sekar-2011
,Pyronia,tithonus,18,,,,0,3,Sekar-2011
,Thymelicus,sylvestris,14,,,,1,2,Sekar-2011
Geometridae,Acasis,appensata,,,,8.6,,-,Zeuss-2016
Geometridae,Acasis,viretata,,,,15.8,,-,Zeuss-2016
Geometridae,Almeria,kalischata,,,,17.5,,-,Zeuss-2016
Geometridae,Amygdaloptera,testaria,,,,27.2,,-,Zeuss-2016
Geometridae,Anthometra,plumularia,,,,7.1,,-,Zeuss-2016
Geometridae,Anticlea,derivata,,,,20.9,,-,Zeuss-2016
Geometridae,Anticollix,sparsata,,,,15.4,,-,Zeuss-2016
Geometridae,Antilurga,alhambrata,,,,14.3,,-,Zeuss-2016
Geometridae,Aplasta,ononaria,,,,20.7,,-,Zeuss-2016
Geometridae,Aplocera,annexata,,,,66.4,,-,Zeuss-2016
Geometridae,Aplocera,bohatschi,,,,24.1,,-,Zeuss-2016
Geometridae,Aplocera,columbata,,,,45.4,,-,Zeuss-2016
Geometridae,Aplocera,efformata,,,,34,,-,Zeuss-2016
Geometridae,Aplocera,plagiata,,,,66.2,,-,Zeuss-2016
Geometridae,Archiearis,notha,,,,44.1,,-,Zeuss-2016
Geometridae,Archiearis,parthenias,,,,95.2,,-,Zeuss-2016
Geometridae,Archiearis,puella,,,,63.6,,-,Zeuss-2016
Geometridae,Asthena,albulata,,,,5.8,,-,Zeuss-2016
Geometridae,Asthena,anseraria,,,,6,,-,Zeuss-2016
Geometridae,Brachyglossina,hispanaria,,,,14.2,,-,Zeuss-2016
Geometridae,Camptogramma,bilineata,,,,29.6,,-,Zeuss-2016
Geometridae,Camptogramma,grisescens,,,,40.2,,-,Zeuss-2016
Geometridae,Camptogramma,scripturata,,,,22.4,,-,Zeuss-2016
Geometridae,Carsia,lythoxylata,,,,16.3,,-,Zeuss-2016
Geometridae,Carsia,sororiata,,,,14.4,,-,Zeuss-2016
Geometridae,Casilda,antophilaria,,,,19.3,,-,Zeuss-2016
Geometridae,Casilda,consecraria,,,,11.2,,-,Zeuss-2016
Geometridae,Cataclysme,riguata,,,,17.2,,-,Zeuss-2016
Geometridae,Cataclysme,uniformata,,,,21.5,,-,Zeuss-2016
Geometridae,Catarhoe,cuculata,,,,29.7,,-,Zeuss-2016
Geometridae,Catarhoe,permixtaria,,,,16.8,,-,Zeuss-2016
Geometridae,Catarhoe,rubidata,,,,25.7,,-,Zeuss-2016
Geometridae,Chesias,angeri,,,,21.9,,-,Zeuss-2016
Geometridae,Chesias,capriata,,,,48.1,,-,Zeuss-2016
Geometridae,Chesias,isabella,,,,32,,-,Zeuss-2016
Geometridae,Chesias,legatella,,,,38.5,,-,Zeuss-2016
Geometridae,Chesias,rufata,,,,33,,-,Zeuss-2016
Geometridae,Chlorissa,cloraria,,,,16.8,,-,Zeuss-2016
Geometridae,Chlorissa,viridata,,,,19.1,,-,Zeuss-2016
Geometridae,Chloroclysta,miata,,,,30.3,,-,Zeuss-2016
Geometridae,Chloroclysta,siterata,,,,31.2,,-,Zeuss-2016
Geometridae,Chloroclystis,v-ata,,,,17.8,,-,Zeuss-2016
Geometridae,Cinglis,andalusiaria,,,,14.4,,-,Zeuss-2016
Geometridae,Cleta,filacearia,,,,15.9,,-,Zeuss-2016
Geometridae,Cleta,perpusillaria,,,,1.4,,-,Zeuss-2016
Geometridae,Cleta,ramosaria,,,,5.8,,-,Zeuss-2016
Geometridae,Coenocalpe,lapidata,,,,18.4,,-,Zeuss-2016
Geometridae,Coenocalpe,millierata,,,,30.3,,-,Zeuss-2016
Geometridae,Coenotephria,salicata,,,,16.1,,-,Zeuss-2016
Geometridae,Coenotephria,tophaceata,,,,22.6,,-,Zeuss-2016
Geometridae,Colostygia,aptata,,,,13.3,,-,Zeuss-2016
Geometridae,Colostygia,aqueata,,,,18.5,,-,Zeuss-2016
Geometridae,Colostygia,austriacaria,,,,27,,-,Zeuss-2016
Geometridae,Colostygia,fitzi,,,,21.1,,-,Zeuss-2016
Geometridae,Colostygia,kollariaria,,,,24.1,,-,Zeuss-2016
Geometridae,Colostygia,laetaria,,,,27.8,,-,Zeuss-2016
Geometridae,Colostygia,olivata,,,,22.6,,-,Zeuss-2016
Geometridae,Colostygia,pectinataria,,,,20.3,,-,Zeuss-2016
Geometridae,Colostygia,puengeleri,,,,23.9,,-,Zeuss-2016
Geometridae,Colostygia,sericeata,,,,20.4,,-,Zeuss-2016
Geometridae,Colostygia,tempestaria,,,,43.2,,-,Zeuss-2016
Geometridae,Colostygia,turbata,,,,23.3,,-,Zeuss-2016
Geometridae,Colostygia,wolfschlaegerae,,,,23,,-,Zeuss-2016
Geometridae,Comibaena,bajularia,,,,42.2,,-,Zeuss-2016
Geometridae,Comibaena,pseudoneriaria,,,,22.4,,-,Zeuss-2016
Geometridae,Cosmorhoe,ocellata,,,,14.1,,-,Zeuss-2016
Geometridae,Costaconvexa,polygrammata,,,,24.4,,-,Zeuss-2016
Geometridae,Cyclophora,albiocellaria,,,,15.4,,-,Zeuss-2016
Geometridae,Cyclophora,albipunctata,,,,20.5,,-,Zeuss-2016
Geometridae,Cyclophora,annularia,,,,14.6,,-,Zeuss-2016
Geometridae,Cyclophora,hyponoea,,,,18.8,,-,Zeuss-2016
Geometridae,Cyclophora,lennigiaria,,,,19.2,,-,Zeuss-2016
Geometridae,Cyclophora,linearia,,,,27.4,,-,Zeuss-2016
Geometridae,Cyclophora,pendularia,,,,23.4,,-,Zeuss-2016
Geometridae,Cyclophora,porata,,,,21.7,,-,Zeuss-2016
Geometridae,Cyclophora,punctaria,,,,27.4,,-,Zeuss-2016
Geometridae,Cyclophora,puppillaria,,,,24,,-,Zeuss-2016
Geometridae,Cyclophora,quercimontaria,,,,19.5,,-,Zeuss-2016
Geometridae,Cyclophora,ruficiliaria,,,,30,,-,Zeuss-2016
Geometridae,Cyclophora,serveti,,,,9.1,,-,Zeuss-2016
Geometridae,Cyclophora,suppunctaria,,,,28.4,,-,Zeuss-2016
Geometridae,Docirava,dervenaria,,,,37.7,,-,Zeuss-2016
Geometridae,Dysstroma,citrata,,,,25.4,,-,Zeuss-2016
Geometridae,Dysstroma,infuscata,,,,39.3,,-,Zeuss-2016
Geometridae,Dysstroma,latefasciata,,,,32.4,,-,Zeuss-2016
Geometridae,Dysstroma,truncata,,,,26.4,,-,Zeuss-2016
Geometridae,Earophila,badiata,,,,25.4,,-,Zeuss-2016
Geometridae,Ecliptopera,capitata,,,,21,,-,Zeuss-2016
Geometridae,Ecliptopera,silaceata,,,,26.6,,-,Zeuss-2016
Geometridae,Electrophaes,corylata,,,,31.2,,-,Zeuss-2016
Geometridae,Emmiltis,pygmaearia,,,,5.9,,-,Zeuss-2016
Geometridae,Entephria,caesiata,,,,29.2,,-,Zeuss-2016
Geometridae,Entephria,contestata,,,,38.2,,-,Zeuss-2016
Geometridae,Entephria,cyanata,,,,36.4,,-,Zeuss-2016
Geometridae,Entephria,flavata,,,,27.8,,-,Zeuss-2016
Geometridae,Entephria,flavicinctata,,,,23.9,,-,Zeuss-2016
Geometridae,Entephria,infidaria,,,,30.3,,-,Zeuss-2016
Geometridae,Entephria,polata,,,,22,,-,Zeuss-2016
Geometridae,Entephria,punctipes,,,,23.6,,-,Zeuss-2016
Geometridae,Epilobophora,sabinata,,,,40.7,,-,Zeuss-2016
Geometridae,Epirranthis,diversata,,,,48.4,,-,Zeuss-2016
Geometridae,Epirrhoe,alternata,,,,27.3,,-,Zeuss-2016
Geometridae,Epirrhoe,galiata,,,,21.2,,-,Zeuss-2016
Geometridae,Epirrhoe,hastulata,,,,11.2,,-,Zeuss-2016
Geometridae,Epirrhoe,molluginata,,,,23.2,,-,Zeuss-2016
Geometridae,Epirrhoe,pupillata,,,,16.2,,-,Zeuss-2016
Geometridae,Epirrhoe,rivata,,,,26.7,,-,Zeuss-2016
Geometridae,Epirrhoe,sandosaria,,,,29.9,,-,Zeuss-2016
Geometridae,Epirrhoe,tartuensis,,,,23,,-,Zeuss-2016
Geometridae,Epirrita,autumnata,,,,24.8,,-,Zeuss-2016
Geometridae,Epirrita,christyi,,,,24.5,,-,Zeuss-2016
Geometridae,Epirrita,dilutata,,,,39.6,,-,Zeuss-2016
Geometridae,Epirrita,filigrammaria,,,,28,,-,Zeuss-2016
