sp,hosts
Agraulis_vanillae,1
Dione_juno,1
Dione_moneta,1
Dryadula_phaetusa,1
Dryas_iulia,1
Eueides_aliphera,1
Eueides_isabella,1
Eueides_lybia,0
Eueides_tales,0
Heliconius_aoede,1
Heliconius_besckei,1
Heliconius_burneyi,1
Heliconius_clysonymus,0
Heliconius_cydno,1
Heliconius_demeter,1
Heliconius_doris,0
Heliconius_egeria,0
Heliconius_erato,1
Heliconius_heurippa,0
Heliconius_hewitsoni,0
Heliconius_himera,1
Heliconius_ismenius,0
Heliconius_leucadia,0
Heliconius_melpomene,1
Heliconius_metharme,0
Heliconius_pachinus,0
Heliconius_peruvianus,1
Heliconius_sapho,0
Heliconius_sara,1
Heliconius_timareta,0
Heliconius_wallacei,0
Heliconius_xanthocles,0
Philaethria_dido,0
