	H	L
Nymphalidae_Eresia_coela	1	NA
Nymphalidae_Eresia_eunice	1	NA
Nymphalidae_Ortilia_ithra	1	NA
Nymphalidae_Telenassa_teletusa	1	NA
Nymphalidae_Castilia_myia	1	NA
Nymphalidae_Anthanassa_frisia	0	NA
Nymphalidae_Anthanassa_texana	0	NA
Nymphalidae_Anthanassa_ptolyca	1	NA
Nymphalidae_Tegosa_anieta	0	NA
Nymphalidae_Phyciodes_orseis	1	NA
Nymphalidae_Phyciodes_mylitta	0	NA
Nymphalidae_Phyciodes_phaon	1	NA
Nymphalidae_Phyciodes_tharos	0	NA
Nymphalidae_Phyciodes_batesii	1	NA
Nymphalidae_Ortilia_orthia	1	NA
Nymphalidae_Ortilia_liriope	0	NA
Nymphalidae_Phystis_simois	1	NA
Nymphalidae_Melitaea_diamina	0	NA
Nymphalidae_Melitaea_cinxia	0	NA
Nymphalidae_Melitaea_phoebe	1	NA
Nymphalidae_Melitaea_aetherie	1	NA
Nymphalidae_Melitaea_arduinna	1	NA
Nymphalidae_Melitaea_didyma	0	NA
Nymphalidae_Chlosyne_californica	1	NA
Nymphalidae_Chlosyne_lacinia	0	NA
Nymphalidae_Chlosyne_gaudealis	1	NA
Nymphalidae_Chlosyne_narva	1	NA
Nymphalidae_Chlosyne_janais	0	NA
Nymphalidae_Dymasia_dymas	1	NA
Nymphalidae_Texola_elada	1	NA
Nymphalidae_Poladryas_arachne	1	NA
Nymphalidae_Euphydryas_chalcedona	0	NA
Nymphalidae_Euphydryas_anicia	0	NA
Nymphalidae_Euphydryas_phaeton	0	NA
Nymphalidae_Euphydryas_editha	1	NA
Nymphalidae_Euphydryas_aurinia	0	NA
Nymphalidae_Euphydryas_maturna	0	NA
Nymphalidae_Euphydryas_gillettii	0	NA
Nymphalidae_Doleschallia_bisaltide	0	NA
Nymphalidae_Junonia_evarete	0	NA
Nymphalidae_Junonia_genoveva	0	NA
Nymphalidae_Junonia_coenia	0	NA
Nymphalidae_Junonia_oenone	1	NA
Nymphalidae_Junonia_almana	0	NA
Nymphalidae_Junonia_westermanni	0	NA
Nymphalidae_Junonia_sophia	0	NA
Nymphalidae_Junonia_orithya	0	NA
Nymphalidae_Junonia_hierta	1	NA
Nymphalidae_Junonia_villida	0	NA
Nymphalidae_Junonia_lemonias	0	NA
Nymphalidae_Junonia_hedonia	1	NA
Nymphalidae_Junonia_atlites	0	NA
Nymphalidae_Junonia_iphita	1	NA
Nymphalidae_Junonia_artaxia	1	NA
Nymphalidae_Junonia_natalica	0	NA
Nymphalidae_Junonia_terea	1	NA
Nymphalidae_Yoma_algina	1	NA
Nymphalidae_Yoma_sabina	0	NA
Nymphalidae_Salamis_cacta	0	NA
Nymphalidae_Hypolimnas_bolina	0	NA
Nymphalidae_Hypolimnas_alimena	1	NA
Nymphalidae_Hypolimnas_misippus	0	NA
Nymphalidae_Hypolimnas_anthedon	0	NA
Nymphalidae_Hypolimnas_dinarcha	1	NA
Nymphalidae_Hypolimnas_usambara	1	NA
Nymphalidae_Hypolimnas_salmacis	1	NA
Nymphalidae_Hypolimnas_monteironis	1	NA
Nymphalidae_Siproeta_stelenes	0	NA
Nymphalidae_Siproeta_epaphus	1	NA
Apocynaceae_Anartia_fatima	0	NA
Apocynaceae_Anartia_amathea	0	NA
Apocynaceae_Anartia_jatrophae	0	NA
Nymphalidae_Kallima_paralekta	1	NA
Nymphalidae_Kallima_limborgii	1	NA
Nymphalidae_Kallima_inachus	0	NA
Nymphalidae_Catacroptera_cloanthe	0	NA
Nymphalidae_Rhinopalpa_polynice	0	NA
Nymphalidae_Polygonia_zephyrus	0	NA
Nymphalidae_Polygonia_gracilis	0	NA
Nymphalidae_Polygonia_oreas	0	NA
Nymphalidae_Polygonia_progne	0	NA
Nymphalidae_Polygonia_interrogationis	0	NA
Nymphalidae_Polygonia_comma	0	NA
Nymphalidae_Polygonia_satyrus	0	NA
