	H	L
Nymphalidae_Polygonia_egea	0	NA
Nymphalidae_Polygonia_faunus	0	NA
Nymphalidae_Nymphalis_xanthomelas	0	NA
Nymphalidae_Nymphalis_antiopa	0	NA
Nymphalidae_Nymphalis_californica	0	NA
Nymphalidae_Nymphalis_polychloros	0	NA
Nymphalidae_Kaniska_canace	0	NA
Nymphalidae_Aglais_milberti	0	NA
Nymphalidae_Aglais_urticae	0	NA
Nymphalidae_Inachis_io	0	NA
Nymphalidae_Antanartia_schaeneia	1	NA
Nymphalidae_Antanartia_delius	1	NA
Nymphalidae_Vanessa_indica	0	NA
Nymphalidae_Vanessa_tameamea	1	NA
Nymphalidae_Vanessa_atalanta	0	NA
Nymphalidae_Vanessa_annabella	0	NA
Nymphalidae_Vanessa_kershawi	1	NA
Nymphalidae_Vanessa_cardui	0	NA
Nymphalidae_Vanessa_virginiensis	0	NA
Nymphalidae_Vanessa_itea	1	NA
Nymphalidae_Vanessa_gonerilla	1	NA
Nymphalidae_Hypanartia_paullus	0	NA
Nymphalidae_Hypanartia_lethe	0	NA
Nymphalidae_Symbrenthia_hypselis	1	NA
Nymphalidae_Mynes_geoffroyi	1	NA
Nymphalidae_Araschnia_burejana	1	NA
Nymphalidae_Araschnia_levana	1	NA
Nymphalidae_Colobura_dirce	0	NA
Nymphalidae_Smyrna_blomfildia	1	NA
Nymphalidae_Historis_odius	0	NA
Nymphalidae_Historis_acheronta	0	NA
Nymphalidae_Marpesia_chiron	0	NA
Nymphalidae_Marpesia_eleuchea	1	NA
Nymphalidae_Cyrestis_thyodamas	1	NA
Nymphalidae_Chersonesia_rahria	1	NA
Nymphalidae_Diaethria_clymena	0	NA
Nymphalidae_Temenis_laothoe	1	NA
Nymphalidae_Nica_flavilla	1	NA
Nymphalidae_Epiphile_orea	1	NA
Nymphalidae_Pyrrhogyra_crameri	1	NA
Nymphalidae_Catonephele_acontius	0	NA
Nymphalidae_Catonephele_numilia	0	NA
Nymphalidae_Myscelia_cyaniris	1	NA
Ranunculaceae_Hamadryas_februa	0	NA
Nymphalidae_Byblia_anvatara	1	NA
Nymphalidae_Neptidopsis_ophione	1	NA
Nymphalidae_Mesoxantha_ethosea	1	NA
Rubiaceae_Ariadne_enotrea	1	NA
Nymphalidae_Eurytela_dryope	0	NA
Pyrgomorphidae_Mestra_dorcas	1	NA
Nymphalidae_Biblis_hyperia	0	NA
Nymphalidae_Sallya_boisduvali	0	NA
Rubiaceae_Ariadne_ariadne	0	NA
Nymphalidae_Neptidopsis_fulgurata	1	NA
Nymphalidae_Sephisa_dichroa	1	NA
Nymphalidae_Sephisa_princeps	1	NA
Nymphalidae_Sephisa_chandra	1	NA
Nymphalidae_Apatura_iris	0	NA
Nymphalidae_Apatura_nycteis	1	NA
Nymphalidae_Hestina_assimilis	1	NA
Nymphalidae_Hestina_japonica	1	NA
Nymphalidae_Euripus_nyctelius	0	NA
Nymphalidae_Sasakia_charonda	1	NA
Nymphalidae_Doxocopa_laure	0	NA
Nymphalidae_Chitoria_ulupi	1	NA
Nymphalidae_Chitoria_chrysolora	1	NA
Nymphalidae_Eulaceura_osteria	1	NA
Nymphalidae_Herona_marathus	1	NA
Nymphalidae_Asterocampa_idyja	1	NA
Nymphalidae_Asterocampa_clyton	0	NA
Nymphalidae_Asterocampa_leilia	1	NA
Nymphalidae_Helcyra_superba	1	NA
Nymphalidae_Timelaea_maculata	1	NA
Nymphalidae_Timelaea_albescens	1	NA
Nymphalidae_Stibochiona_nicea	0	NA
Nymphalidae_Dichorragia_nesimachus	1	NA
Nymphalidae_Amnosia_decora	1	NA
Nymphalidae_Pseudergolis_wedah	1	NA
Nymphalidae_Heliconius_sapho	1	NA
Nymphalidae_Heliconius_antiochus	1	NA
Nymphalidae_Heliconius_sara	1	NA
Nymphalidae_Heliconius_hewitsoni	1	NA
Nymphalidae_Heliconius_ricini	1	NA
Nymphalidae_Heliconius_demeter	1	NA
Nymphalidae_Heliconius_hortense	1	NA
Nymphalidae_Heliconius_clysonymus	1	NA
Nymphalidae_Heliconius_erato	1	NA
Nymphalidae_Heliconius_hermathena	1	NA
Nymphalidae_Heliconius_hecalesia	1	NA
Nymphalidae_Heliconius_doris	1	NA
Nymphalidae_Heliconius_xanthocles	1	NA
Nymphalidae_Heliconius_wallacei	1	NA
Nymphalidae_Heliconius_burneyi	1	NA
Nymphalidae_Heliconius_egeria	1	NA
Nymphalidae_Heliconius_elevatus	1	NA
Nymphalidae_Heliconius_pardalinus	1	NA
Nymphalidae_Heliconius_hecale	1	NA
Nymphalidae_Heliconius_ethilla	1	NA
Nymphalidae_Heliconius_melpomene	1	NA
Nymphalidae_Heliconius_timareta	1	NA
Nymphalidae_Heliconius_heurippa	1	NA
Nymphalidae_Heliconius_pachinus	1	NA
Nymphalidae_Heliconius_cydno	1	NA
Nymphalidae_Heliconius_numata	1	NA
Nymphalidae_Heliconius_besckei	1	NA
Nymphalidae_Heliconius_ismenius	1	NA
Nymphalidae_Heliconius_nattereri	1	NA
Nymphalidae_Heliconius_aoede	1	NA
Nymphalidae_Heliconius_metharme	1	NA
Nymphalidae_Eueides_pavana	0	NA
Nymphalidae_Eueides_vibilia	1	NA
Nymphalidae_Eueides_procula	1	NA
Nymphalidae_Eueides_isabella	1	NA
Nymphalidae_Eueides_aliphera	1	NA
Nymphalidae_Eueides_lybia	1	NA
Nymphalidae_Eueides_tales	1	NA
Nymphalidae_Dryadula_phaetusa	1	NA
Rosaceae_Dryas_iulia	0	NA
Nymphalidae_Philaethria_dido	1	NA
Nymphalidae_Philaethria_wernickei	1	NA
Bangiaceae_Dione_moneta	1	NA
Bangiaceae_Dione_juno	1	NA
Bangiaceae_Dione_glycera	1	NA
Nymphalidae_Agraulis_vanillae	0	NA
Nymphalidae_Heliconius_charitonius	1	NA
Nymphalidae_Cethosia_hypsea	1	NA
Nymphalidae_Cethosia_penthesilea	1	NA
Nymphalidae_Cethosia_cyane	0	NA
Nymphalidae_Cethosia_biblis	1	NA
Nymphalidae_Cethosia_nietneri	1	NA
Nymphalidae_Cethosia_cydippe	0	NA
Nymphalidae_Actinote_rhodope	0	NA
Nymphalidae_Actinote_pyrrha	0	NA
Nymphalidae_Actinote_pellenea	0	NA
Nymphalidae_Actinote_thalia	0	NA
Nymphalidae_Actinote_parapheles	0	NA
Nymphalidae_Actinote_alalia	1	NA
Nymphalidae_Mycalesis_gotama	1	NA
Nymphalidae_Actinote_mamita	0	NA
Nymphalidae_Actinote_genitrix	1	NA
Nymphalidae_Acraea_jodutta	1	NA
Nymphalidae_Acraea_alciope	0	NA
Nymphalidae_Acraea_johnstoni	1	NA
Nymphalidae_Acraea_lycoa	1	NA
Nymphalidae_Acraea_encedana	1	NA
Nymphalidae_Acraea_pharsalus	0	NA
Nymphalidae_Acraea_peneleos	1	NA
Nymphalidae_Acraea_parrhasia	1	NA
Nymphalidae_Acraea_circeis	1	NA
Nymphalidae_Acraea_perenna	0	NA
Nymphalidae_Acraea_igola	1	NA
Nymphalidae_Acraea_vesperalis	1	NA
Nymphalidae_Acraea_bonasia	0	NA
Nymphalidae_Acraea_eponina	0	NA
Nymphalidae_Acraea_oberthueri	1	NA
Nymphalidae_Acraea_acerata	0	NA
Nymphalidae_Acraea_rahira	0	NA
Nymphalidae_Acraea_issoria	1	NA
Nymphalidae_Acraea_andromacha	0	NA
Nymphalidae_Acraea_endoscota	1	NA
Nymphalidae_Acraea_quirina	0	NA
Nymphalidae_Acraea_camaena	0	NA
Nymphalidae_Acraea_egina	0	NA
Nymphalidae_Acraea_abdera	1	NA
Nymphalidae_Acraea_pseudegina	0	NA
Nymphalidae_Acraea_zetes	0	NA
Nymphalidae_Acraea_violae	0	NA
Nymphalidae_Clossiana_kriemhild	1	NA
Nymphalidae_Clossiana_improba	0	NA
Nymphalidae_Clossiana_frigga	0	NA
Nymphalidae_Clossiana_selene	0	NA
Nymphalidae_Boloria_euphrosyne	1	NA
Nymphalidae_Clossiana_thore	1	NA
Nymphalidae_Clossiana_titania	0	NA
Nymphalidae_Clossiana_freija	0	NA
Nymphalidae_Clossiana_iphigenia	1	NA
Nymphalidae_Clossiana_dia	0	NA
Nymphalidae_Clossiana_astarte	1	NA
Nymphalidae_Clossiana_alberta	1	NA
Nymphalidae_Boloria_pales	0	NA
Nymphalidae_Boloria_napaea	0	NA
Nymphalidae_Boloria_aquilonaris	0	NA
Nymphalidae_Boloria_sifanica	0	NA
Nymphalidae_Argynnis_adippe	1	NA
Nymphalidae_Speyeria_mormonia	1	NA
Nymphalidae_Argynnis_aglaja	1	NA
Nymphalidae_Brenthis_daphne	0	NA
Nymphalidae_Brenthis_ino	0	NA
Nymphalidae_Brenthis_hecate	0	NA
Nymphalidae_Argynnis_paphia	0	NA
Nymphalidae_Argynnis_anadyomene	1	NA
Nymphalidae_Damora_sagana	1	NA
Nymphalidae_Issoria_hanningtoni	1	NA
Nymphalidae_Issoria_smaragdifera	1	NA
Nymphalidae_Issoria_lathonia	0	NA
Nymphalidae_Speyeria_atlantis	1	NA
Nymphalidae_Ideopsis_similis	0	NA
Nymphalidae_Euploea_midamus	0	NA
Nymphalidae_Vindula_erota	1	NA
Nymphalidae_Argyronome_laodice	1	NA
Nymphalidae_Argyreus_hyperbius	0	NA
Nymphalidae_Pardopsis_punctatissima	0	NA
Nymphalidae_Euptoieta_claudia	0	NA
Nymphalidae_Euptoieta_hegesia	0	NA
Nymphalidae_Phalanta_phalantha	0	NA
Nymphalidae_Vagrans_egista	0	NA
Nymphalidae_Cupha_erymanthis	0	NA
Nymphalidae_Cupha_prosope	0	NA
Nymphalidae_Cirrochroa_emalea	1	NA
Nymphalidae_Cirrochroa_tyche	1	NA
Nymphalidae_Lachnoptera_anticlia	0	NA
Nymphalidae_Vindula_arsinoe	1	NA
Nymphalidae_Basilarchia_arthemis	0	NA
Nymphalidae_Limenitis_populi	0	NA
Nymphalidae_Adelpha_cytherea	1	NA
Nymphalidae_Limenitis_moltrechti	1	NA
Nymphalidae_Phaedyma_columella	0	NA
Nymphalidae_Limenitis_helmanni	1	NA
Nymphalidae_Limenitis_camilla	1	NA
Nymphalidae_Limenitis_amphyssa	0	NA
Nymphalidae_Adelpha_bredowii	1	NA
Nymphalidae_Athyma_ranga	1	NA
Nymphalidae_Athyma_selenophora	0	NA
Nymphalidae_Athyma_fortuna	1	NA
Nymphalidae_Limenitis_doerriesi	1	NA
Nymphalidae_Limenitis_sulpitia	1	NA
Nymphalidae_Moduza_procris	1	NA
Nymphalidae_Basilarchia_archippus	0	NA
Nymphalidae_Pseudacraea_lucretia	0	NA
Nymphalidae_Dophla_evelina	0	NA
Nymphalidae_Tanaecia_julii	1	NA
Nymphalidae_Euthalia_monina	0	NA
Nymphalidae_Euptera_elabontas	1	NA
Nymphalidae_Hamanumida_daedalus	0	NA
Nymphalidae_Aterica_galene	0	NA
Nymphalidae_Bebearia_sophus	0	NA
Nymphalidae_Catuna_crithea	0	NA
Nymphalidae_Neptis_rivularis	0	NA
Nymphalidae_Neptis_hylas	0	NA
Nymphalidae_Neptis_sappho	1	NA
Nymphalidae_Neptis_ida	1	NA
Nymphalidae_Lasippa_tiga	1	NA
Nymphalidae_Pantoporia_sandaka	1	NA
Nymphalidae_Neptis_saclava	0	NA
Nymphalidae_Neptis_pryeri	1	NA
Nymphalidae_Pantoporia_hordonia	1	NA
Nymphalidae_Harma_theobene	0	NA
Nymphalidae_Cymothoe_caenis	0	NA
Nymphalidae_Pseudoneptis_bugandensis	1	NA
Nymphalidae_Parthenos_sylvia	0	NA
Nymphalidae_Napeogenes_sylphis	1	NA
Nymphalidae_Napeogenes_inachia	1	NA
Nymphalidae_Napeogenes_tolosa	1	NA
Nymphalidae_Hypothyris_semifulva	1	NA
Nymphalidae_Hypothyris_fluonia	1	NA
Nymphalidae_Hypothyris_euclea	1	NA
Nymphalidae_Hypothyris_daphnis	1	NA
Nymphalidae_Epityches_eupompe	1	NA
Nymphalidae_Ithomia_salapia	1	NA
Nymphalidae_Ithomia_iphianassa	1	NA
Nymphalidae_Ithomia_diasia	1	NA
Nymphalidae_Ithomia_celemia	1	NA
Nymphalidae_Ithomia_patilla	1	NA
Nymphalidae_Ithomia_xenos	1	NA
Nymphalidae_Ithomia_drymo	1	NA
Nymphalidae_Ithomia_agnosia	1	NA
Nymphalidae_Ithomia_amarilla	1	NA
Nymphalidae_Pteronymia_vestilla	1	NA
Nymphalidae_Episcada_clausina	1	NA
Nymphalidae_Ceratinia_tutia	1	NA
Nymphalidae_Callithomia_lenea	1	NA
Nymphalidae_Callithomia_hezia	1	NA
Nymphalidae_Dircenna_dero	1	NA
Nymphalidae_Pseudoscada_timna	1	NA
Nymphalidae_Mcclungia_cymo	1	NA
Nymphalidae_Hypoleria_lavinia	1	NA
Nymphalidae_Godyris_zavaleta	1	NA
Nymphalidae_Methona_confusa	1	NA
Nymphalidae_Methona_themisto	0	NA
Nymphalidae_Oleria_rubescens	1	NA
Nymphalidae_Oleria_zelica	1	NA
Nymphalidae_Oleria_victorine	1	NA
Nymphalidae_Oleria_vicina	1	NA
Nymphalidae_Hyposcada_virginiana	1	NA
Nymphalidae_Mechanitis_mazaeus	1	NA
Nymphalidae_Mechanitis_lysimnia	1	NA
Nymphalidae_Mechanitis_polymnia	1	NA
Nymphalidae_Forbestra_olivencia	1	NA
Nymphalidae_Scada_zibia	1	NA
Nymphalidae_Tithorea_harmonia	1	NA
Nymphalidae_Melinaea_menophilus	1	NA
Nymphalidae_Thyridia_psidii	1	NA
Nymphalidae_Danaus_chrysippus	0	NA
Nymphalidae_Danaus_gilippus	1	NA
Nymphalidae_Danaus_plexippus	0	NA
Nymphalidae_Danaus_erippus	0	NA
Nymphalidae_Danaus_genutia	1	NA
Nymphalidae_Danaus_eresimus	0	NA
Nymphalidae_Tirumala_limniace	0	NA
Nymphalidae_Tirumala_septentrionis	0	NA
Nymphalidae_Tirumala_hamata	0	NA
Nymphalidae_Parantica_luzonensis	1	NA
Nymphalidae_Parantica_sita	1	NA
Nymphalidae_Parantica_agleoides	0	NA
Nymphalidae_Parantica_aspasia	1	NA
Nymphalidae_Ideopsis_vulgaris	1	NA
Nymphalidae_Ideopsis_gaura	1	NA
Nymphalidae_Amauris_ellioti	1	NA
Nymphalidae_Amauris_tartarea	1	NA
Nymphalidae_Amauris_niavius	0	NA
Nymphalidae_Euploea_eunice	0	NA
Nymphalidae_Euploea_mulciber	0	NA
Nymphalidae_Euploea_camaralzeman	1	NA
Nymphalidae_Idea_stolli	0	NA
Nymphalidae_Idea_lynceus	0	NA
Nymphalidae_Idea_leuconoe	0	NA
Nymphalidae_Anetia_briarea	1	NA
Nymphalidae_Lycorea_ilione	0	NA
Nymphalidae_Euploea_core	0	NA
Nymphalidae_Parantica_aglea	1	NA
Nymphalidae_Tellervo_zoilus	0	NA
Lycaenidae_Hypolycaena_philippus	0	NA
Nymphalidae_Libytheana_carinenta	0	NA
Nymphalidae_Libythea_celtis	1	NA
Nymphalidae_Libytheana_bachmanii	0	NA
Nymphalidae_Acraea_obeira	0	NA
Nymphalidae_Symbrenthia_lilaea	1	NA
Nymphalidae_Cissia_confusa	0	NA
Nymphalidae_Capronnieria_galesus	1	NA
Nymphalidae_Taygetis_ypthima	1	NA
Nymphalidae_Taygetis_virgilia	1	NA
Nymphalidae_Hermeuptychia_hermes	1	NA
Nymphalidae_Hermeuptychia_sosybius	1	NA
Nymphalidae_Godartiana_muscosa	1	NA
Nymphalidae_Cissia_penelope	1	NA
Nymphalidae_Megisto_cymela	1	NA
Nymphalidae_Palaeonympha_opalina	1	NA
Nymphalidae_Cyllopsis_gemma	1	NA
Nymphalidae_Cyllopsis_pertepida	1	NA
Nymphalidae_Acraea_ranavalona	1	NA
Nymphalidae_Lymanopoda_samius	1	NA
Nymphalidae_Lasiommata_maera	1	NA
Nymphalidae_Praepedaliodes_phanias	1	NA
Nymphalidae_Argyrophorus_argenteus	1	NA
Nymphalidae_Oeneis_norna	0	NA
Nymphalidae_Neominois_ridingsii	1	NA
Nymphalidae_Oeneis_taygete	1	NA
Nymphalidae_Oeneis_chryxus	0	NA
Nymphalidae_Oeneis_jutta	0	NA
Nymphalidae_Satyrus_ferula	1	NA
Nymphalidae_Satyrus_actaea	1	NA
Nymphalidae_Chazara_briseis	1	NA
Nymphalidae_Arethusana_arethusa	1	NA
Nymphalidae_Brintesia_circe	0	NA
Nymphalidae_Hipparchia_semele	1	NA
Nymphalidae_Hipparchia_fagi	1	NA
Nymphalidae_Hipparchia_fidia	1	NA
Nymphalidae_Pseudotergumia_fidia	1	NA
Nymphalidae_Hipparchia_statilinus	0	NA
Nymphalidae_Melanargia_lachesis	1	NA
Nymphalidae_Melanargia_galathea	1	NA
Nymphalidae_Melanargia_russiae	1	NA
Nymphalidae_Melanargia_ines	1	NA
Nymphalidae_Melanargia_halimede	1	NA
Nymphalidae_Melanargia_occitanica	1	NA
Nymphalidae_Minois_dryas	1	NA
Nymphalidae_Cercyonis_oetus	1	NA
Nymphalidae_Hyponephele_lycaon	1	NA
Nymphalidae_Erebia_tyndarus	1	NA
Nymphalidae_Erebia_euryale	1	NA
Nymphalidae_Erebia_ligea	0	NA
Nymphalidae_Erebia_oeme	0	NA
Nymphalidae_Erebia_palarica	1	NA
Nymphalidae_Erebia_triaria	1	NA
Nymphalidae_Erebia_pharte	1	NA
Nymphalidae_Erebia_epiphron	1	NA
Nymphalidae_Erebia_meolans	1	NA
Nymphalidae_Erebia_pandrose	1	NA
Nymphalidae_Erebia_pronoe	1	NA
Nymphalidae_Erebia_montana	1	NA
Nymphalidae_Erebia_medusa	1	NA
Nymphalidae_Erebia_alberganus	1	NA
Nymphalidae_Maniola_jurtina	1	NA
Nymphalidae_Aphantopus_hyperantus	0	NA
Nymphalidae_Pyronia_cecilia	1	NA
Nymphalidae_Pyronia_bathseba	1	NA
Nymphalidae_Pyronia_tithonus	1	NA
Nymphalidae_Cercyonis_pegala	1	NA
Nymphalidae_Cercyonis_meadii	1	NA
Nymphalidae_Ypthima_baldus	1	NA
Nymphalidae_Pseudonympha_magus	1	NA
Nymphalidae_Cassionympha_cassius	0	NA
Nymphalidae_Stygionympha_vigilans	0	NA
Nymphalidae_Calisto_pulchella	1	NA
Nymphalidae_Geitoneura_acantha	1	NA
Nymphalidae_Nesoxenica_leprea	1	NA
Nymphalidae_Heteronympha_merope	1	NA
Nymphalidae_Heteronympha_penelope	1	NA
Nymphalidae_Paratisiphone_lyrnessa	1	NA
Nymphalidae_Oreixenica_lathoniella	1	NA
Nymphalidae_Tisiphone_helena	0	NA
Nymphalidae_Tisiphone_abeona	1	NA
Nymphalidae_Hypocysta_adiante	1	NA
Nymphalidae_Erebiola_butleri	1	NA
Nymphalidae_Dodonidia_helmsii	0	NA
Nymphalidae_Coenonympha_tullia	0	NA
Nymphalidae_Coenonympha_pamphilus	1	NA
Nymphalidae_Coenonympha_glycerion	1	NA
Nymphalidae_Coenonympha_arcania	1	NA
Nymphalidae_Coenonympha_hero	0	NA
Nymphalidae_Coenonympha_dorus	0	NA
Nymphalidae_Coenonympha_oedippus	0	NA
Nymphalidae_Manataria_hercyna	1	NA
Nymphalidae_Orsotriaena_medus	1	NA
Nymphalidae_Coelites_euptychioides	1	NA
Nymphalidae_Lethe_europa	1	NA
Nymphalidae_Erebia_aethiops	1	NA
Nymphalidae_Lethe_chandica	1	NA
Nymphalidae_Erebia_niphonica	1	NA
Nymphalidae_Enodia_anthedon	1	NA
Nymphalidae_Enodia_portlandia	1	NA
Nymphalidae_Satyrodes_eurydice	1	NA
Nymphalidae_Lethe_minerva	1	NA
Nymphalidae_Lethe_confusa	1	NA
Nymphalidae_Aphysoneura_pigmentaria	1	NA
Nymphalidae_Neope_bremeri	1	NA
Nymphalidae_Pararge_aegeria	1	NA
Nymphalidae_Lasiommata_petropolitana	1	NA
Nymphalidae_Lasiommata_megera	1	NA
Nymphalidae_Lopinga_achine	0	NA
Nymphalidae_Mycalesis_sangaica	1	NA
Nymphalidae_Mycalesis_janardana	1	NA
Nymphalidae_Henotesia_perspicua	1	NA
Nymphalidae_Henotesia_simonsii	0	NA
Nymphalidae_Bicyclus_iccius	1	NA
Nymphalidae_Bicyclus_medontias	1	NA
Nymphalidae_Bicyclus_dorothea	1	NA
Nymphalidae_Bicyclus_vulgaris	1	NA
Nymphalidae_Bicyclus_dubia	1	NA
Nymphalidae_Bicyclus_safitza	1	NA
Nymphalidae_Bicyclus_anynana	1	NA
Nymphalidae_Mycalesis_terminus	1	NA
Nymphalidae_Mycalesis_visala	1	NA
Nymphalidae_Mycalesis_perseus	1	NA
Nymphalidae_Mycalesis_mineus	1	NA
Nymphalidae_Elymnias_bammakoo	1	NA
Nymphalidae_Mycalesis_francisca	1	NA
Nymphalidae_Mycalesis_orseis	1	NA
Nymphalidae_Lethe_diana	1	NA
Nymphalidae_Mycalesis_sirius	1	NA
Nymphalidae_Melanitis_leda	0	NA
Nymphalidae_Mycalesis_maianeas	1	NA
Nymphalidae_Mycalesis_anapita	1	NA
Nymphalidae_Discophora_sondaica	1	NA
Nymphalidae_Dingana_dingana	1	NA
Nymphalidae_Aeropetes_tulbaghia	1	NA
Nymphalidae_Torynesis_mintha	1	NA
Nymphalidae_Torynesis_hawequas	1	NA
Nymphalidae_Dira_clytus	1	NA
Nymphalidae_Dira_oxylus	1	NA
Nymphalidae_Dira_jansei	1	NA
Nymphalidae_Dira_swanepoeli	1	NA
Nymphalidae_Paralethe_dendrophilus	1	NA
Nymphalidae_Gnophodes_chelys	1	NA
Nymphalidae_Amathusia_phidippus	0	NA
Nymphalidae_Discophora_necho	1	NA
Nymphalidae_Thauria_aliris	1	NA
Nymphalidae_Stichophthalma_howqua	0	NA
Nymphalidae_Elymnias_hypermnestra	0	NA
Nymphalidae_Elymnias_nesaea	1	NA
Nymphalidae_Elymnias_casiphone	1	NA
Nymphalidae_Xanthotaenia_busiris	1	NA
Nymphalidae_Opsiphanes_cassina	0	NA
Nymphalidae_Opsiphanes_quiteria	1	NA
Nymphalidae_Dynastor_darius	0	NA
Nymphalidae_Dasyophthalma_rusina	0	NA
Nymphalidae_Caligo_idomeneus	0	NA
Nymphalidae_Brassolis_sophorae	0	NA
Nymphalidae_Morpho_peleides	0	NA
Nymphalidae_Calinaga_buddha	1	NA
Nymphalidae_Charaxes_bernardus	0	NA
Nymphalidae_Charaxes_marmax	1	NA
Nymphalidae_Charaxes_amycus	1	NA
Nymphalidae_Charaxes_affinis	1	NA
Nymphalidae_Charaxes_latona	0	NA
Nymphalidae_Charaxes_antamboulou	1	NA
Nymphalidae_Charaxes_candiope	0	NA
Nymphalidae_Charaxes_tiridates	0	NA
Nymphalidae_Charaxes_cithaeron	0	NA
Nymphalidae_Charaxes_nandina	0	NA
Nymphalidae_Charaxes_xiphares	0	NA
Nymphalidae_Charaxes_smaragdalis	1	NA
Nymphalidae_Charaxes_bohemani	0	NA
Nymphalidae_Charaxes_bipunctatus	0	NA
Nymphalidae_Charaxes_numenes	0	NA
Nymphalidae_Charaxes_ameliae	1	NA
Nymphalidae_Charaxes_pythodoris	1	NA
Nymphalidae_Charaxes_lactetinctus	0	NA
Nymphalidae_Charaxes_druceanus	0	NA
Nymphalidae_Charaxes_eudoxus	0	NA
Nymphalidae_Charaxes_pollux	0	NA
Nymphalidae_Charaxes_ansorgei	1	NA
Nymphalidae_Charaxes_brutus	0	NA
Nymphalidae_Charaxes_lucretius	0	NA
Nymphalidae_Charaxes_jasius	0	NA
Nymphalidae_Charaxes_castor	0	NA
Nymphalidae_Charaxes_legeri	0	NA
Nymphalidae_Charaxes_fulvescens	1	NA
Nymphalidae_Charaxes_acuminatus	0	NA
Nymphalidae_Charaxes_varanes	0	NA
Nymphalidae_Charaxes_cynthia	0	NA
Nymphalidae_Charaxes_lasti	1	NA
