	H	L
Agraulis_vanillae	0	NA
Dione_juno	0	NA
Dione_moneta	0	NA
Dryadula_phaetusa	0	NA
Dryas_iulia	0	NA
Eueides_aliphera	0	NA
Eueides_isabella	0	NA
Eueides_lybia	1	NA
Eueides_tales	1	NA
Heliconius_aoede	0	NA
Heliconius_besckei	0	NA
Heliconius_burneyi	0	NA
Heliconius_clysonymus	1	NA
Heliconius_cydno	0	NA
Heliconius_demeter	0	NA
Heliconius_doris	1	NA
Heliconius_egeria	1	NA
Heliconius_erato	0	NA
Heliconius_heurippa	1	NA
Heliconius_hewitsoni	1	NA
Heliconius_himera	0	NA
Heliconius_ismenius	1	NA
Heliconius_leucadia	1	NA
Heliconius_melpomene	0	NA
Heliconius_metharme	1	NA
Heliconius_pachinus	1	NA
Heliconius_peruvianus	0	NA
Heliconius_sapho	1	NA
Heliconius_sara	0	NA
Heliconius_timareta	1	NA
Heliconius_wallacei	1	NA
Heliconius_xanthocles	1	NA
Philaethria_dido	1	NA
