Genus,species,speciesNames,wingspan(inch),wingspan(mm),wingspanMean(mm),forwingLength(mm),source,notes
Iolana,iolas,Iolana iolas,,18.53,18.5,8.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Lasiommata,petropolitana,Lasiommata petropolitana,,21.8,21.8,10,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Lycaena,tityrus,Lycaena tityrus,,23.98,24.0,11,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Pseudophilotes,baton,Pseudophilotes baton,,23.98,24.0,11,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Albulina,orbitulus,Albulina orbitulus,,25.07,25.1,11.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Glaucopsyche,alexis,Glaucopsyche alexis,,26.16,26.2,12,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Zizeeria,knysna,Zizeeria knysna,,27.25,27.3,12.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Aricia,nicias,Aricia nicias,,28.34,28.3,13,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Agriades,glandon,Agriades glandon,,29.43,29.4,13.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Maculinea,nausithous,Maculinea nausithous,,30.52,30.5,14,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Pseudophilotes,vicrama,Pseudophilotes vicrama,,31.61,31.6,14.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Chilades,trochylus,Chilades trochylus,,33.79,33.8,15.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Erebia,pandrose,Erebia pandrose,,33.79,33.8,15.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Hyponephele,lycaon,Hyponephele lycaon,,35.97,36.0,16.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Glaucopsyche,melanops,Glaucopsyche melanops,,38.15,38.2,17.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Erebia,alberganus,Erebia alberganus,,38.15,38.2,17.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Brenthis,daphne,Brenthis daphne,,39.24,39.2,18,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Satyrus,ferula,Satyrus ferula,,39.24,39.2,18,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Pyronia,cecilia,Pyronia cecilia,,40.33,40.3,18.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Colias,hecla,Colias hecla,,41.42,41.4,19,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Boloria,pales,Boloria pales,,41.42,41.4,19,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Coenonympha,dorus,Coenonympha dorus,,41.42,41.4,19,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Scolitantides,orion,Scolitantides orion,,42.51,42.5,19.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
Coenonympha,oedippus,Coenonympha oedippus,,42.51,42.5,19.5,Cizek-2006,Forewing is multipllied by 2.18 to get wingspan (Miller-1976)
